latitude,longitude,elevation_m
18.895,72.83,12.58
18.895,72.835,12.09
18.895,72.84,9.04
18.895,72.845,15.43
18.895,72.85,12.94
18.895,72.855,24.16
18.895,72.86,26.11
18.895,72.865,24.74
18.895,72.87,25.43
18.895,72.875,16.45
18.895,72.88,12.25
18.895,72.885,6.78
18.895,72.89,4.03
18.895,72.895,3.51
18.895,72.9,10.35
18.895,72.905,21.03
18.895,72.91,29.77
18.895,72.915,40.57
18.895,72.92,43.77
18.895,72.925,47.08
18.895,72.93,43.77
18.895,72.935,32.76
18.895,72.94,27.46
18.895,72.945,19.39
18.895,72.95,15.68
18.895,72.955,18.39
18.895,72.96,24.2
18.895,72.965,26.66
18.895,72.97,37.16
18.895,72.975,39.79
18.895,72.98,42.85
18.895,72.985,41.33
18.895,72.99,38.94
18.895,72.995,37.37
18.895,73.0,42.35
18.9,72.77,24.94
18.9,72.775,14.29
18.9,72.78,8.91
18.9,72.785,0.0
18.9,72.79,0.0
18.9,72.795,0.0
18.9,72.8,0.0
18.9,72.805,0.0
18.9,72.81,0.84
18.9,72.815,5.17
18.9,72.82,9.45
18.9,72.825,11.18
18.9,72.83,16.05
18.9,72.835,10.73
18.9,72.84,19.74
18.9,72.845,21.82
18.9,72.85,20.39
18.9,72.855,26.87
18.9,72.86,27.39
18.9,72.865,20.19
18.9,72.87,16.72
18.9,72.875,16.72
18.9,72.88,5.61
18.9,72.885,3.17
18.9,72.89,2.28
18.9,72.895,4.16
18.9,72.9,13.1
18.9,72.905,17.49
18.9,72.91,32.62
18.9,72.915,36.49
18.9,72.92,44.85
18.9,72.925,47.98
18.9,72.93,43.73
18.9,72.935,37.78
18.9,72.94,29.09
18.9,72.945,21.89
18.9,72.95,17.27
18.9,72.955,16.5
18.9,72.96,16.22
18.9,72.965,21.32
18.9,72.97,28.27
18.9,72.975,33.52
18.9,72.98,35.55
18.9,72.985,42.87
18.9,72.99,44.44
18.9,72.995,43.46
18.9,73.0,47.27
18.905,72.77,23.53
18.905,72.775,16.96
18.905,72.78,12.03
18.905,72.785,3.2
18.905,72.79,0.0
18.905,72.795,0.0
18.905,72.8,0.0
18.905,72.805,0.0
18.905,72.81,0.0
18.905,72.815,0.0
18.905,72.82,0.78
18.905,72.825,6.8
18.905,72.83,14.98
18.905,72.835,24.79
18.905,72.84,25.56
18.905,72.845,32.14
18.905,72.85,29.94
18.905,72.855,25.17
18.905,72.86,22.22
18.905,72.865,18.06
18.905,72.87,14.19
18.905,72.875,7.38
18.905,72.88,0.97
18.905,72.885,2.25
18.905,72.89,1.54
18.905,72.895,4.38
18.905,72.9,14.9
18.905,72.905,20.78
18.905,72.91,34.32
18.905,72.915,41.91
18.905,72.92,43.56
18.905,72.925,47.38
18.905,72.93,45.78
18.905,72.935,42.79
18.905,72.94,32.18
18.905,72.945,28.82
18.905,72.95,18.59
18.905,72.955,18.16
18.905,72.96,16.69
18.905,72.965,14.09
18.905,72.97,21.54
18.905,72.975,21.91
18.905,72.98,34.68
18.905,72.985,43.29
18.905,72.99,48.52
18.905,72.995,53.44
18.905,73.0,58.32
18.91,72.77,13.84
18.91,72.775,20.99
18.91,72.78,13.14
18.91,72.785,13.1
18.91,72.79,2.91
18.91,72.795,0.24
18.91,72.8,0.0
18.91,72.805,0.0
18.91,72.81,0.0
18.91,72.815,0.0
18.91,72.82,0.0
18.91,72.825,5.73
18.91,72.83,20.23
18.91,72.835,27.18
18.91,72.84,40.22
18.91,72.845,37.27
18.91,72.85,36.54
18.91,72.855,29.97
18.91,72.86,20.37
18.91,72.865,7.41
18.91,72.87,3.03
18.91,72.875,0.63
18.91,72.88,0.0
18.91,72.885,3.95
18.91,72.89,9.28
18.91,72.895,13.46
18.91,72.9,18.28
18.91,72.905,29.04
18.91,72.91,28.24
18.91,72.915,34.05
18.91,72.92,37.15
18.91,72.925,43.07
18.91,72.93,45.63
18.91,72.935,42.17
18.91,72.94,40.14
18.91,72.945,35.32
18.91,72.95,31.1
18.91,72.955,16.51
18.91,72.96,15.39
18.91,72.965,11.53
18.91,72.97,11.22
18.91,72.975,18.48
18.91,72.98,29.1
18.91,72.985,40.74
18.91,72.99,55.66
18.91,72.995,60.78
18.91,73.0,65.38
18.915,72.77,9.46
18.915,72.775,14.05
18.915,72.78,14.46
18.915,72.785,13.38
18.915,72.79,8.93
18.915,72.795,1.43
18.915,72.8,0.0
18.915,72.805,0.0
18.915,72.81,0.0
18.915,72.815,0.0
18.915,72.82,0.0
18.915,72.825,2.79
18.915,72.83,20.12
18.915,72.835,28.95
18.915,72.84,38.52
18.915,72.845,38.19
18.915,72.85,31.91
18.915,72.855,26.6
18.915,72.86,13.16
18.915,72.865,7.4
18.915,72.87,4.35
18.915,72.875,0.0
18.915,72.88,0.0
18.915,72.885,9.82
18.915,72.89,12.45
18.915,72.895,19.51
18.915,72.9,25.72
18.915,72.905,28.07
18.915,72.91,30.27
18.915,72.915,32.17
18.915,72.92,29.13
18.915,72.925,32.89
18.915,72.93,41.41
18.915,72.935,39.89
18.915,72.94,40.2
18.915,72.945,35.93
18.915,72.95,31.45
18.915,72.955,23.47
18.915,72.96,14.41
18.915,72.965,8.97
18.915,72.97,11.18
18.915,72.975,13.99
18.915,72.98,24.45
18.915,72.985,34.32
18.915,72.99,55.64
18.915,72.995,63.73
18.915,73.0,65.71
18.92,72.77,3.93
18.92,72.775,8.99
18.92,72.78,11.22
18.92,72.785,8.85
18.92,72.79,3.71
18.92,72.795,2.71
18.92,72.8,0.0
18.92,72.805,0.0
18.92,72.81,0.0
18.92,72.815,0.0
18.92,72.82,0.0
18.92,72.825,8.19
18.92,72.83,16.73
18.92,72.835,23.86
18.92,72.84,35.75
18.92,72.845,30.61
18.92,72.85,28.55
18.92,72.855,23.62
18.92,72.86,12.98
18.92,72.865,12.64
18.92,72.87,5.1
18.92,72.875,2.41
18.92,72.88,7.51
18.92,72.885,11.77
18.92,72.89,16.4
18.92,72.895,19.35
18.92,72.9,22.03
18.92,72.905,30.79
18.92,72.91,24.27
18.92,72.915,30.99
18.92,72.92,27.39
18.92,72.925,33.29
18.92,72.93,35.91
18.92,72.935,39.15
18.92,72.94,40.44
18.92,72.945,34.32
18.92,72.95,32.06
18.92,72.955,24.73
18.92,72.96,21.73
18.92,72.965,14.46
18.92,72.97,12.48
18.92,72.975,19.7
18.92,72.98,23.5
18.92,72.985,38.61
18.92,72.99,45.86
18.92,72.995,54.64
18.92,73.0,55.59
18.925,72.77,6.3
18.925,72.775,1.42
18.925,72.78,4.51
18.925,72.785,1.8
18.925,72.79,3.03
18.925,72.795,6.85
18.925,72.8,2.36
18.925,72.805,0.0
18.925,72.81,0.31
18.925,72.815,0.46
18.925,72.82,4.05
18.925,72.825,9.5
18.925,72.83,11.59
18.925,72.835,16.59
18.925,72.84,19.45
18.925,72.845,19.61
18.925,72.85,18.5
18.925,72.855,17.39
18.925,72.86,17.72
18.925,72.865,15.93
18.925,72.87,10.9
18.925,72.875,12.6
18.925,72.88,12.7
18.925,72.885,17.74
18.925,72.89,17.54
18.925,72.895,25.21
18.925,72.9,23.23
18.925,72.905,26.75
18.925,72.91,23.66
18.925,72.915,26.94
18.925,72.92,29.48
18.925,72.925,27.64
18.925,72.93,31.18
18.925,72.935,34.36
18.925,72.94,32.09
18.925,72.945,30.7
18.925,72.95,34.89
18.925,72.955,27.39
18.925,72.96,28.62
18.925,72.965,26.21
18.925,72.97,26.34
18.925,72.975,31.77
18.925,72.98,33.25
18.925,72.985,38.61
18.925,72.99,37.43
18.925,72.995,46.29
18.925,73.0,45.8
18.93,72.77,0.0
18.93,72.775,3.13
18.93,72.78,0.0
18.93,72.785,0.0
18.93,72.79,1.96
18.93,72.795,2.83
18.93,72.8,4.67
18.93,72.805,9.99
18.93,72.81,12.15
18.93,72.815,13.94
18.93,72.82,11.83
18.93,72.825,10.1
18.93,72.83,10.71
18.93,72.835,6.82
18.93,72.84,3.8
18.93,72.845,3.45
18.93,72.85,7.45
18.93,72.855,9.07
18.93,72.86,17.27
18.93,72.865,22.77
18.93,72.87,27.93
18.93,72.875,21.5
18.93,72.88,24.52
18.93,72.885,19.6
18.93,72.89,17.28
18.93,72.895,16.8
18.93,72.9,20.2
18.93,72.905,20.07
18.93,72.91,23.25
18.93,72.915,25.83
18.93,72.92,26.53
18.93,72.925,26.46
18.93,72.93,22.33
18.93,72.935,26.17
18.93,72.94,25.5
18.93,72.945,24.44
18.93,72.95,29.01
18.93,72.955,34.66
18.93,72.96,36.06
18.93,72.965,42.34
18.93,72.97,46.38
18.93,72.975,47.21
18.93,72.98,38.1
18.93,72.985,35.2
18.93,72.99,33.62
18.93,72.995,32.71
18.93,73.0,35.44
18.935,72.77,0.0
18.935,72.775,0.0
18.935,72.78,0.0
18.935,72.785,0.0
18.935,72.79,0.0
18.935,72.795,3.13
18.935,72.8,8.82
18.935,72.805,15.65
18.935,72.81,22.32
18.935,72.815,26.19
18.935,72.82,22.76
18.935,72.825,15.03
18.935,72.83,8.03
18.935,72.835,0.0
18.935,72.84,0.0
18.935,72.845,0.0
18.935,72.85,0.0
18.935,72.855,6.56
18.935,72.86,12.15
18.935,72.865,27.29
18.935,72.87,31.32
18.935,72.875,29.74
18.935,72.88,33.22
18.935,72.885,25.31
18.935,72.89,22.14
18.935,72.895,21.6
18.935,72.9,19.34
18.935,72.905,22.94
18.935,72.91,21.99
18.935,72.915,28.23
18.935,72.92,24.09
18.935,72.925,27.34
18.935,72.93,18.01
18.935,72.935,18.23
18.935,72.94,20.49
18.935,72.945,21.33
18.935,72.95,27.3
18.935,72.955,35.15
18.935,72.96,40.85
18.935,72.965,47.54
18.935,72.97,53.23
18.935,72.975,49.89
18.935,72.98,48.14
18.935,72.985,36.68
18.935,72.99,29.92
18.935,72.995,23.16
18.935,73.0,19.11
18.94,72.77,0.0
18.94,72.775,0.0
18.94,72.78,0.0
18.94,72.785,0.0
18.94,72.79,0.0
18.94,72.795,6.87
18.94,72.8,18.31
18.94,72.805,24.63
18.94,72.81,29.22
18.94,72.815,31.5
18.94,72.82,25.5
18.94,72.825,13.67
18.94,72.83,2.0
18.94,72.835,0.0
18.94,72.84,0.0
18.94,72.845,0.0
18.94,72.85,0.0
18.94,72.855,2.34
18.94,72.86,8.8
18.94,72.865,21.69
18.94,72.87,26.49
18.94,72.875,35.27
18.94,72.88,37.8
18.94,72.885,28.68
18.94,72.89,25.39
18.94,72.895,23.64
18.94,72.9,19.17
18.94,72.905,18.06
18.94,72.91,21.22
18.94,72.915,19.25
18.94,72.92,16.8
18.94,72.925,14.39
18.94,72.93,21.6
18.94,72.935,18.97
18.94,72.94,17.51
18.94,72.945,23.23
18.94,72.95,29.58
18.94,72.955,40.82
18.94,72.96,47.1
18.94,72.965,54.22
18.94,72.97,58.34
18.94,72.975,57.25
18.94,72.98,48.11
18.94,72.985,38.61
18.94,72.99,25.01
18.94,72.995,16.66
18.94,73.0,11.17
18.945,72.77,0.0
18.945,72.775,0.0
18.945,72.78,0.0
18.945,72.785,0.0
18.945,72.79,7.13
18.945,72.795,14.47
18.945,72.8,23.58
18.945,72.805,24.56
18.945,72.81,27.16
18.945,72.815,29.12
18.945,72.82,21.05
18.945,72.825,11.82
18.945,72.83,2.91
18.945,72.835,0.0
18.945,72.84,0.0
18.945,72.845,0.0
18.945,72.85,0.0
18.945,72.855,1.29
18.945,72.86,7.92
18.945,72.865,17.79
18.945,72.87,27.37
18.945,72.875,31.89
18.945,72.88,36.74
18.945,72.885,40.94
18.945,72.89,35.48
18.945,72.895,29.95
18.945,72.9,30.44
18.945,72.905,19.82
18.945,72.91,15.33
18.945,72.915,16.2
18.945,72.92,12.79
18.945,72.925,10.51
18.945,72.93,13.67
18.945,72.935,16.02
18.945,72.94,18.66
18.945,72.945,23.7
18.945,72.95,35.85
18.945,72.955,47.42
18.945,72.96,51.0
18.945,72.965,56.4
18.945,72.97,55.66
18.945,72.975,47.79
18.945,72.98,43.09
18.945,72.985,35.69
18.945,72.99,24.76
18.945,72.995,19.18
18.945,73.0,17.94
18.95,72.77,0.0
18.95,72.775,0.0
18.95,72.78,0.0
18.95,72.785,0.87
18.95,72.79,11.05
18.95,72.795,19.25
18.95,72.8,26.21
18.95,72.805,23.78
18.95,72.81,19.7
18.95,72.815,20.42
18.95,72.82,13.23
18.95,72.825,7.01
18.95,72.83,4.77
18.95,72.835,2.64
18.95,72.84,0.0
18.95,72.845,0.0
18.95,72.85,0.0
18.95,72.855,2.0
18.95,72.86,4.16
18.95,72.865,10.54
18.95,72.87,19.19
18.95,72.875,31.17
18.95,72.88,38.04
18.95,72.885,39.24
18.95,72.89,46.24
18.95,72.895,36.74
18.95,72.9,34.42
18.95,72.905,26.92
18.95,72.91,15.29
18.95,72.915,6.38
18.95,72.92,2.53
18.95,72.925,3.76
18.95,72.93,10.86
18.95,72.935,14.03
18.95,72.94,22.32
18.95,72.945,36.39
18.95,72.95,45.01
18.95,72.955,53.37
18.95,72.96,49.15
18.95,72.965,51.16
18.95,72.97,50.88
18.95,72.975,44.39
18.95,72.98,38.65
18.95,72.985,35.57
18.95,72.99,28.37
18.95,72.995,27.91
18.95,73.0,21.79
18.955,72.77,0.0
18.955,72.775,0.0
18.955,72.78,0.0
18.955,72.785,7.95
18.955,72.79,13.22
18.955,72.795,22.36
18.955,72.8,23.14
18.955,72.805,20.26
18.955,72.81,17.07
18.955,72.815,12.26
18.955,72.82,7.98
18.955,72.825,10.48
18.955,72.83,7.08
18.955,72.835,7.76
18.955,72.84,7.97
18.955,72.845,6.11
18.955,72.85,7.54
18.955,72.855,3.04
18.955,72.86,3.86
18.955,72.865,6.54
18.955,72.87,14.24
18.955,72.875,22.29
18.955,72.88,34.44
18.955,72.885,38.66
18.955,72.89,44.08
18.955,72.895,43.39
18.955,72.9,35.95
18.955,72.905,23.83
18.955,72.91,16.14
18.955,72.915,5.7
18.955,72.92,0.0
18.955,72.925,0.56
18.955,72.93,11.79
18.955,72.935,22.15
18.955,72.94,31.66
18.955,72.945,42.27
18.955,72.95,45.95
18.955,72.955,49.63
18.955,72.96,51.49
18.955,72.965,46.22
18.955,72.97,41.03
18.955,72.975,36.7
18.955,72.98,37.03
18.955,72.985,35.97
18.955,72.99,34.87
18.955,72.995,33.52
18.955,73.0,31.89
18.96,72.77,0.0
18.96,72.775,0.0
18.96,72.78,0.0
18.96,72.785,6.21
18.96,72.79,18.37
18.96,72.795,17.45
18.96,72.8,18.91
18.96,72.805,14.41
18.96,72.81,16.14
18.96,72.815,7.77
18.96,72.82,1.68
18.96,72.825,8.4
18.96,72.83,7.33
18.96,72.835,9.91
18.96,72.84,10.13
18.96,72.845,11.35
18.96,72.85,9.42
18.96,72.855,5.55
18.96,72.86,4.82
18.96,72.865,7.59
18.96,72.87,7.39
18.96,72.875,16.52
18.96,72.88,31.15
18.96,72.885,35.81
18.96,72.89,38.29
18.96,72.895,35.63
18.96,72.9,34.03
18.96,72.905,27.97
18.96,72.91,22.18
18.96,72.915,13.3
18.96,72.92,4.27
18.96,72.925,6.56
18.96,72.93,10.78
18.96,72.935,21.23
18.96,72.94,32.32
18.96,72.945,40.08
18.96,72.95,49.56
18.96,72.955,43.52
18.96,72.96,43.54
18.96,72.965,35.32
18.96,72.97,36.11
18.96,72.975,30.38
18.96,72.98,35.07
18.96,72.985,33.89
18.96,72.99,33.98
18.96,72.995,34.29
18.96,73.0,36.74
18.965,72.77,0.0
18.965,72.775,0.0
18.965,72.78,0.79
18.965,72.785,8.21
18.965,72.79,7.25
18.965,72.795,4.9
18.965,72.8,10.76
18.965,72.805,11.1
18.965,72.81,9.31
18.965,72.815,3.09
18.965,72.82,4.87
18.965,72.825,8.97
18.965,72.83,8.61
18.965,72.835,12.39
18.965,72.84,12.28
18.965,72.845,11.88
18.965,72.85,11.55
18.965,72.855,14.05
18.965,72.86,11.36
18.965,72.865,14.28
18.965,72.87,14.84
18.965,72.875,20.59
18.965,72.88,23.4
18.965,72.885,27.42
18.965,72.89,28.46
18.965,72.895,35.44
18.965,72.9,28.18
18.965,72.905,20.94
18.965,72.91,21.83
18.965,72.915,16.51
18.965,72.92,19.51
18.965,72.925,20.25
18.965,72.93,21.88
18.965,72.935,25.24
18.965,72.94,32.19
18.965,72.945,34.46
18.965,72.95,39.37
18.965,72.955,39.04
18.965,72.96,42.48
18.965,72.965,33.85
18.965,72.97,32.68
18.965,72.975,32.68
18.965,72.98,33.84
18.965,72.985,38.22
18.965,72.99,38.04
18.965,72.995,44.47
18.965,73.0,42.55
18.97,72.77,4.65
18.97,72.775,3.2
18.97,72.78,5.14
18.97,72.785,1.44
18.97,72.79,0.28
18.97,72.795,0.0
18.97,72.8,0.73
18.97,72.805,1.21
18.97,72.81,7.3
18.97,72.815,8.17
18.97,72.82,8.3
18.97,72.825,9.83
18.97,72.83,11.67
18.97,72.835,12.62
18.97,72.84,11.93
18.97,72.845,11.39
18.97,72.85,15.0
18.97,72.855,17.55
18.97,72.86,17.08
18.97,72.865,20.25
18.97,72.87,17.51
18.97,72.875,20.57
18.97,72.88,14.5
18.97,72.885,15.19
18.97,72.89,14.59
18.97,72.895,17.57
18.97,72.9,21.54
18.97,72.905,24.18
18.97,72.91,22.67
18.97,72.915,30.99
18.97,72.92,30.16
18.97,72.925,32.38
18.97,72.93,33.88
18.97,72.935,28.85
18.97,72.94,31.68
18.97,72.945,27.24
18.97,72.95,31.67
18.97,72.955,27.86
18.97,72.96,32.45
18.97,72.965,33.39
18.97,72.97,31.95
18.97,72.975,32.61
18.97,72.98,37.15
18.97,72.985,37.13
18.97,72.99,42.63
18.97,72.995,40.15
18.97,73.0,41.34
18.975,72.77,14.27
18.975,72.775,12.61
18.975,72.78,2.09
18.975,72.785,0.0
18.975,72.79,0.0
18.975,72.795,0.0
18.975,72.8,0.0
18.975,72.805,0.0
18.975,72.81,0.0
18.975,72.815,10.23
18.975,72.82,8.78
18.975,72.825,13.43
18.975,72.83,13.88
18.975,72.835,14.2
18.975,72.84,15.25
18.975,72.845,14.82
18.975,72.85,23.28
18.975,72.855,24.93
18.975,72.86,25.82
18.975,72.865,21.75
18.975,72.87,19.29
18.975,72.875,17.25
18.975,72.88,5.89
18.975,72.885,5.74
18.975,72.89,0.58
18.975,72.895,3.83
18.975,72.9,9.19
18.975,72.905,21.87
18.975,72.91,33.78
18.975,72.915,40.82
18.975,72.92,46.03
18.975,72.925,45.87
18.975,72.93,43.02
18.975,72.935,35.84
18.975,72.94,21.99
18.975,72.945,23.16
18.975,72.95,19.85
18.975,72.955,17.95
18.975,72.96,18.16
18.975,72.965,27.73
18.975,72.97,33.19
18.975,72.975,35.83
18.975,72.98,39.55
18.975,72.985,42.33
18.975,72.99,45.33
18.975,72.995,41.54
18.975,73.0,43.67
18.98,72.77,21.94
18.98,72.775,15.52
18.98,72.78,6.34
18.98,72.785,0.0
18.98,72.79,0.0
18.98,72.795,0.0
18.98,72.8,0.0
18.98,72.805,0.0
18.98,72.81,0.41
18.98,72.815,7.46
18.98,72.82,9.62
18.98,72.825,3.8
18.98,72.83,13.05
18.98,72.835,16.59
18.98,72.84,16.02
18.98,72.845,21.03
18.98,72.85,27.88
18.98,72.855,29.85
18.98,72.86,29.65
18.98,72.865,25.95
18.98,72.87,19.88
18.98,72.875,14.77
18.98,72.88,5.17
18.98,72.885,0.0
18.98,72.89,0.0
18.98,72.895,0.0
18.98,72.9,10.25
18.98,72.905,18.86
18.98,72.91,34.86
18.98,72.915,46.29
18.98,72.92,52.88
18.98,72.925,53.56
18.98,72.93,48.53
18.98,72.935,36.97
18.98,72.94,25.01
18.98,72.945,17.48
18.98,72.95,15.58
18.98,72.955,11.09
18.98,72.96,14.78
18.98,72.965,20.67
18.98,72.97,25.65
18.98,72.975,32.71
18.98,72.98,40.94
18.98,72.985,39.78
18.98,72.99,39.15
18.98,72.995,43.22
18.98,73.0,47.71
18.985,72.77,20.04
18.985,72.775,19.97
18.985,72.78,6.6
18.985,72.785,0.0
18.985,72.79,0.0
18.985,72.795,0.0
18.985,72.8,0.0
18.985,72.805,0.0
18.985,72.81,0.0
18.985,72.815,0.0
18.985,72.82,5.94
18.985,72.825,11.22
18.985,72.83,14.5
18.985,72.835,20.24
18.985,72.84,22.36
18.985,72.845,25.16
18.985,72.85,30.46
18.985,72.855,30.04
18.985,72.86,28.74
18.985,72.865,24.06
18.985,72.87,14.5
18.985,72.875,10.77
18.985,72.88,1.34
18.985,72.885,0.0
18.985,72.89,0.0
18.985,72.895,2.43
18.985,72.9,11.3
18.985,72.905,23.88
18.985,72.91,31.18
18.985,72.915,41.55
18.985,72.92,52.29
18.985,72.925,52.79
18.985,72.93,46.65
18.985,72.935,41.32
18.985,72.94,28.48
18.985,72.945,29.06
18.985,72.95,18.81
18.985,72.955,14.58
18.985,72.96,14.28
18.985,72.965,16.66
18.985,72.97,20.88
18.985,72.975,29.54
18.985,72.98,34.09
18.985,72.985,39.56
18.985,72.99,42.93
18.985,72.995,50.22
18.985,73.0,52.3
18.99,72.77,19.45
18.99,72.775,17.35
18.99,72.78,12.51
18.99,72.785,11.31
18.99,72.79,0.92
18.99,72.795,0.0
18.99,72.8,0.0
18.99,72.805,0.0
18.99,72.81,0.0
18.99,72.815,0.0
18.99,72.82,0.0
18.99,72.825,8.99
18.99,72.83,14.48
18.99,72.835,26.5
18.99,72.84,30.93
18.99,72.845,35.54
18.99,72.85,34.81
18.99,72.855,28.76
18.99,72.86,26.53
18.99,72.865,14.07
18.99,72.87,14.32
18.99,72.875,2.39
18.99,72.88,0.99
18.99,72.885,0.0
18.99,72.89,2.9
18.99,72.895,14.86
18.99,72.9,15.31
18.99,72.905,26.05
18.99,72.91,31.81
18.99,72.915,40.88
18.99,72.92,42.58
18.99,72.925,46.2
18.99,72.93,46.14
18.99,72.935,40.01
18.99,72.94,41.49
18.99,72.945,30.75
