latitude,longitude,elevation_m,slope,curvature,flow_accumulation
18.875,72.78,0.0,1.511,9.5e-05,664.9
18.875,72.785,7.32,2.0844,3.6e-05,591.7
18.875,72.79,17.42,1.1458,-5.9e-05,490.7
18.875,72.795,22.97,0.1549,-6.2e-05,435.2
18.875,72.8,23.72,0.766,-5.8e-05,427.7
18.875,72.805,20.01,1.0178,-1.6e-05,464.8
18.875,72.81,15.08,0.8072,1.3e-05,514.1
18.875,72.815,11.17,1.2861,-3e-05,553.2
18.875,72.82,4.94,0.4955,5e-05,615.5
18.875,72.825,2.54,0.7639,7.9e-05,639.5
18.875,72.83,6.24,0.0206,-4.7e-05,602.5
18.875,72.835,6.34,0.2395,1.4e-05,601.5
18.875,72.84,7.5,0.7164,-6e-05,589.9
18.875,72.845,4.03,0.7267,-1e-06,624.6
18.875,72.85,0.51,0.1053,3.9e-05,659.8
18.875,72.855,0.0,0.2209,2.1e-05,664.9
18.875,72.86,1.07,1.3748,7.3e-05,654.2
18.875,72.865,7.73,1.9298,3.5e-05,587.6
18.875,72.87,17.08,1.4264,-3.2e-05,494.1
18.875,72.875,23.99,1.5647,9e-06,425.0
18.875,72.88,31.57,1.804,1.5e-05,349.2
18.875,72.885,40.31,0.7949,-6.4e-05,261.8
18.875,72.89,44.16,0.1858,-6.2e-05,223.3
18.875,72.895,43.26,0.8609,-4.2e-05,232.3
18.875,72.9,39.09,2.2308,-8.6e-05,274.0
18.875,72.905,28.28,3.0241,-5e-05,382.1
18.875,72.91,13.62,1.8617,7.3e-05,528.7
18.875,72.915,4.6,0.9497,5.7e-05,618.9
18.875,72.92,0.0,0.0,6e-05,664.9
18.875,72.925,0.0,2.2885,0.000144,664.9
18.875,72.93,11.09,0.5864,-0.000107,554.0
18.875,72.935,13.93,2.7501,0.000136,525.6
18.875,72.94,27.26,3.7339,6.2e-05,392.3
18.875,72.945,45.37,0.7515,-0.000188,211.2
18.875,72.95,49.01,0.0723,-4.3e-05,174.8
18.875,72.955,49.36,0.4398,2.3e-05,171.3
18.875,72.96,51.49,0.8217,-7.9e-05,150.0
18.875,72.965,47.51,1.8968,-6.8e-05,189.8
18.875,72.97,38.32,0.5327,8.6e-05,281.7
18.875,72.975,35.74,0.0661,3.8e-05,307.5
18.875,72.98,36.06,0.8836,-6e-05,304.3
18.875,72.985,31.78,0.4522,8.4e-05,347.1
18.875,72.99,33.97,0.4522,0.0,325.2
18.875,72.995,36.16,1.7524,-0.000139,303.3
18.875,73.0,27.67,5.6942,-0.000249,388.2
18.88,72.77,0.0,0.0,0.000359,664.9
18.88,72.775,0.0,0.0,0.0,664.9
18.88,72.78,0.0,1.0838,6.8e-05,664.9
18.88,72.785,5.25,2.103,6.4e-05,612.4
18.88,72.79,15.44,0.1528,-0.000123,510.5
18.88,72.795,16.18,0.0888,-1.5e-05,503.1
18.88,72.8,15.75,0.7845,5.5e-05,507.4
18.88,72.805,19.55,0.8754,-0.000104,469.4
18.88,72.81,15.31,0.8506,2e-06,511.8
18.88,72.815,11.19,0.5079,2.2e-05,553.0
18.88,72.82,8.73,0.192,4.4e-05,577.6
18.88,72.825,9.66,0.3923,-3.7e-05,568.3
18.88,72.83,7.76,0.1321,3.3e-05,587.3
18.88,72.835,8.4,0.6008,-4.6e-05,580.9
18.88,72.84,5.49,0.6318,-2e-06,610.0
18.88,72.845,2.43,0.8981,9.6e-05,640.6
18.88,72.85,6.78,0.1693,-4.6e-05,597.1
18.88,72.855,7.6,0.2746,-2.8e-05,588.9
18.88,72.86,6.27,1.1643,9.1e-05,602.2
18.88,72.865,11.91,0.6462,-3.3e-05,545.8
18.88,72.87,15.04,1.5626,5.8e-05,514.5
18.88,72.875,22.61,2.2535,4.4e-05,438.8
18.88,72.88,33.53,0.3365,-0.000121,329.6
18.88,72.885,35.16,0.5347,1.2e-05,313.3
18.88,72.89,37.75,0.865,-8.8e-05,287.4
18.88,72.895,33.56,0.0516,5.8e-05,329.3
18.88,72.9,33.81,2.1051,-0.000136,326.8
18.88,72.905,23.61,1.3047,5e-05,428.8
18.88,72.91,17.29,1.5337,-1.4e-05,492.0
18.88,72.915,9.86,0.7144,5.2e-05,566.3
18.88,72.92,6.4,0.3469,6.7e-05,600.9
18.88,72.925,8.08,1.0756,4.6e-05,584.1
18.88,72.93,13.29,2.1277,6.6e-05,532.0
18.88,72.935,23.6,1.971,-1e-05,428.9
18.88,72.94,33.15,1.2778,-4.4e-05,333.4
18.88,72.945,39.34,1.3893,7e-06,271.5
18.88,72.95,46.07,0.3221,-6.7e-05,204.2
18.88,72.955,47.63,0.2457,-3.6e-05,188.6
18.88,72.96,46.44,0.1032,9e-06,200.5
18.88,72.965,45.94,1.7875,-0.000106,205.5
18.88,72.97,37.28,0.3138,9.3e-05,292.1
18.88,72.975,35.76,0.4253,-7e-06,307.3
18.88,72.98,33.7,0.0599,3.1e-05,327.9
18.88,72.985,33.99,0.3778,2e-05,325.0
18.88,72.99,35.82,0.768,-7.2e-05,306.7
18.88,72.995,32.1,0.574,8.4e-05,343.9
18.88,73.0,34.88,7.1641,-0.000489,316.1
18.885,72.77,0.0,0.0,0.000453,664.9
18.885,72.775,0.0,0.0,0.0,664.9
18.885,72.78,0.0,0.9992,6.3e-05,664.9
18.885,72.785,4.84,0.3262,-8.3e-05,616.5
18.885,72.79,3.26,0.896,7.7e-05,632.3
18.885,72.795,7.6,0.1239,-4.9e-05,588.9
18.885,72.8,8.2,0.5203,2.5e-05,582.9
18.885,72.805,10.72,0.0186,-3.2e-05,557.7
18.885,72.81,10.81,0.5162,3.1e-05,556.8
18.885,72.815,13.31,0.1383,-4.1e-05,531.8
18.885,72.82,12.64,0.2147,-5e-06,538.5
18.885,72.825,11.6,0.9476,-4.6e-05,548.9
18.885,72.83,7.01,0.2333,7.4e-05,594.8
18.885,72.835,8.14,0.3056,-3.4e-05,583.5
18.885,72.84,6.66,0.0124,1.8e-05,598.3
18.885,72.845,6.6,0.2127,-1.3e-05,598.9
18.885,72.85,5.57,1.0488,7.9e-05,609.2
18.885,72.855,10.65,0.6338,-2.6e-05,558.4
18.885,72.86,13.72,0.6524,1e-06,527.7
18.885,72.865,16.88,0.7928,9e-06,496.1
18.885,72.87,20.72,0.6978,-6e-06,457.7
18.885,72.875,24.1,0.32,-6.4e-05,423.9
18.885,72.88,22.55,0.5987,5.8e-05,439.4
18.885,72.885,25.45,0.351,-1.6e-05,410.4
18.885,72.89,27.15,0.4336,-4.9e-05,393.4
18.885,72.895,25.05,0.2849,4.5e-05,414.4
18.885,72.9,26.43,0.6338,-5.8e-05,400.6
18.885,72.905,23.36,1.1065,-3e-05,431.3
18.885,72.91,18.0,0.9703,0.000131,484.9
18.885,72.915,22.7,0.4542,-9e-05,437.9
18.885,72.92,20.5,0.5802,-8e-06,459.9
18.885,72.925,17.69,0.9043,9.3e-05,488.0
18.885,72.93,22.07,0.0248,-5.5e-05,444.2
18.885,72.935,22.19,1.4079,8.7e-05,443.0
18.885,72.94,29.01,0.3262,-6.8e-05,374.8
18.885,72.945,30.59,0.2891,-2e-06,359.0
18.885,72.95,31.99,1.3026,6.4e-05,345.0
18.885,72.955,38.3,0.3014,-6.3e-05,281.9
18.885,72.96,39.76,0.0289,-2.1e-05,267.3
18.885,72.965,39.62,0.3696,-2.1e-05,268.7
18.885,72.97,37.83,0.0227,2.5e-05,286.6
18.885,72.975,37.94,0.2932,-2e-05,285.5
18.885,72.98,36.52,0.3118,3.8e-05,299.7
18.885,72.985,38.03,1.3274,-0.000103,284.6
18.885,72.99,31.6,0.4625,0.000113,348.9
18.885,72.995,33.84,0.1136,-3.6e-05,326.5
18.885,73.0,33.29,5.0127,-0.000309,332.0
18.89,72.77,8.95,0.9724,0.000255,575.4
18.89,72.775,4.24,0.6648,1.9e-05,622.5
18.89,72.78,1.02,0.2106,2.9e-05,654.7
18.89,72.785,0.0,0.0,1.3e-05,664.9
18.89,72.79,0.0,0.0,0.0,664.9
18.89,72.795,0.0,0.574,3.6e-05,664.9
18.89,72.8,2.78,0.993,2.6e-05,637.1
18.89,72.805,7.59,0.4233,-3.6e-05,589.0
18.89,72.81,9.64,0.4191,-0.0,568.5
18.89,72.815,11.67,0.0557,-2.3e-05,548.2
18.89,72.82,11.94,0.095,2e-06,545.5
18.89,72.825,12.4,0.4005,-3.1e-05,540.9
18.89,72.83,10.46,0.0785,3e-05,560.3
18.89,72.835,10.84,0.7371,-5.1e-05,556.5
18.89,72.84,7.27,0.4625,7.5e-05,592.2
18.89,72.845,9.51,0.1012,-2.3e-05,569.8
18.89,72.85,10.0,1.2551,7.3e-05,564.9
18.89,72.855,16.08,0.9228,-2.1e-05,504.1
18.89,72.86,20.55,0.4646,-2.9e-05,459.4
18.89,72.865,22.8,0.159,-1.9e-05,436.9
18.89,72.87,23.57,0.3056,-2.9e-05,429.2
18.89,72.875,22.09,0.5306,-1.4e-05,444.0
18.89,72.88,19.52,0.4191,7e-06,469.7
18.89,72.885,17.49,1.8473,-9e-05,490.0
18.89,72.89,8.54,1.4615,0.000208,579.5
18.89,72.895,15.62,0.5492,-0.000126,508.7
18.89,72.9,12.96,1.872,0.000152,535.3
18.89,72.905,22.03,2.035,1e-05,444.6
18.89,72.91,31.89,0.0268,-0.000126,346.0
18.89,72.915,32.02,0.6669,4e-05,344.7
18.89,72.92,35.25,0.192,-5.4e-05,312.4
18.89,72.925,34.32,0.0867,7e-06,321.7
18.89,72.93,33.9,0.8939,-5.1e-05,325.9
18.89,72.935,29.57,1.1581,-1.7e-05,369.2
18.89,72.94,23.96,0.1672,6.2e-05,425.3
18.89,72.945,23.15,0.3138,-9e-06,433.4
18.89,72.95,21.63,1.0157,8.4e-05,448.6
18.89,72.955,26.55,0.8114,-1.3e-05,399.4
18.89,72.96,30.48,1.2159,2.5e-05,360.1
18.89,72.965,36.37,0.4067,-5.1e-05,301.2
18.89,72.97,38.34,0.5368,8e-06,281.5
18.89,72.975,40.94,0.031,-3.6e-05,255.5
18.89,72.98,40.79,0.4212,-2.5e-05,257.0
18.89,72.985,38.75,0.4439,-1e-06,277.4
18.89,72.99,36.6,0.512,-4e-06,298.9
18.89,72.995,34.12,0.1838,2.1e-05,323.7
18.89,73.0,33.23,3.4377,-0.000205,332.6
18.895,72.77,16.56,1.3232,0.000133,499.3
18.895,72.775,10.15,1.1107,1.3e-05,563.4
18.895,72.78,4.77,0.9848,8e-06,617.2
18.895,72.785,0.0,0.0,6.2e-05,664.9
18.895,72.79,0.0,0.0,0.0,664.9
18.895,72.795,0.0,0.0,0.0,664.9
18.895,72.8,0.0,0.0,0.0,664.9
18.895,72.805,0.0,1.3625,8.6e-05,664.9
18.895,72.81,6.6,1.1602,-1.3e-05,598.9
18.895,72.815,12.22,0.2085,-8.6e-05,542.7
18.895,72.82,11.21,0.3551,3.5e-05,552.8
18.895,72.825,12.93,0.0723,-2.7e-05,535.6
18.895,72.83,12.58,0.1012,-2e-06,539.1
18.895,72.835,12.09,0.6297,-3.3e-05,544.0
18.895,72.84,9.04,1.3191,0.000123,574.5
18.895,72.845,15.43,0.5141,-0.000115,510.6
18.895,72.85,12.94,2.3153,0.000178,535.5
18.895,72.855,24.16,0.4026,-0.00012,423.3
18.895,72.86,26.11,0.2829,-4.3e-05,403.8
18.895,72.865,24.74,0.1425,2.7e-05,417.5
18.895,72.87,25.43,1.8535,-0.000126,410.6
18.895,72.875,16.45,0.8671,6.2e-05,500.4
18.895,72.88,12.25,1.1293,-1.6e-05,542.4
18.895,72.885,6.78,0.5678,3.5e-05,597.1
18.895,72.89,4.03,0.1074,2.9e-05,624.6
18.895,72.895,3.51,1.412,9.6e-05,629.8
18.895,72.9,10.35,2.204,5e-05,561.4
18.895,72.905,21.03,1.804,-2.5e-05,454.6
18.895,72.91,29.77,2.2288,2.7e-05,367.2
18.895,72.915,40.57,0.6607,-9.9e-05,259.2
18.895,72.92,43.77,0.6834,1e-06,227.2
18.895,72.925,47.08,0.6834,-8.6e-05,194.1
18.895,72.93,43.77,2.2721,-0.0001,227.2
18.895,72.935,32.76,1.0942,7.4e-05,337.3
18.895,72.94,27.46,1.6658,-3.6e-05,390.3
18.895,72.945,19.39,0.766,5.7e-05,471.0
18.895,72.95,15.68,0.5595,8.3e-05,508.1
18.895,72.955,18.39,1.1994,4e-05,481.0
18.895,72.96,24.2,0.5079,-4.4e-05,422.9
18.895,72.965,26.66,2.1669,0.000104,398.3
18.895,72.97,37.16,0.543,-0.000102,293.3
18.895,72.975,39.79,0.6318,6e-06,267.0
18.895,72.98,42.85,0.3138,-5.9e-05,236.4
18.895,72.985,41.33,0.4935,-1.1e-05,251.6
18.895,72.99,38.94,0.3242,1.1e-05,275.5
18.895,72.995,37.37,1.0281,8.5e-05,291.2
18.895,73.0,42.35,3.59,-0.000291,241.4
18.9,72.77,24.94,2.1978,8.8e-05,415.5
18.9,72.775,14.29,1.1107,6.8e-05,522.0
18.9,72.78,8.91,1.839,-4.6e-05,575.8
18.9,72.785,0.0,0.0,0.000116,664.9
18.9,72.79,0.0,0.0,0.0,664.9
18.9,72.795,0.0,0.0,0.0,664.9
18.9,72.8,0.0,0.0,0.0,664.9
18.9,72.805,0.0,0.1734,1.1e-05,664.9
18.9,72.81,0.84,0.8939,4.5e-05,656.5
18.9,72.815,5.17,0.8836,-1e-06,613.2
18.9,72.82,9.45,0.3572,-3.3e-05,570.4
18.9,72.825,11.18,1.0054,4.1e-05,553.1
18.9,72.83,16.05,1.0983,-0.000132,504.4
18.9,72.835,10.73,1.8597,0.000186,557.6
18.9,72.84,19.74,0.4295,-9e-05,467.5
18.9,72.845,21.82,0.2953,-4.6e-05,446.7
18.9,72.85,20.39,1.3377,0.000103,461.0
18.9,72.855,26.87,0.1074,-7.7e-05,396.2
18.9,72.86,27.39,1.4863,-0.0001,391.0
18.9,72.865,20.19,0.7164,4.8e-05,463.0
18.9,72.87,16.72,0.0,4.5e-05,497.7
18.9,72.875,16.72,2.2927,-0.000144,497.7
18.9,72.88,5.61,0.5038,0.000113,608.8
18.9,72.885,3.17,0.1838,2e-05,633.2
18.9,72.89,2.28,0.3882,3.6e-05,642.1
18.9,72.895,4.16,1.8452,9.2e-05,623.3
18.9,72.9,13.1,0.9063,-5.9e-05,533.9
18.9,72.905,17.49,3.1208,0.000139,490.0
18.9,72.91,32.62,0.799,-0.000146,338.7
18.9,72.915,36.49,1.7256,5.8e-05,300.0
18.9,72.92,44.85,0.6462,-6.8e-05,216.4
18.9,72.925,47.98,0.8774,-9.6e-05,185.1
18.9,72.93,43.73,1.2283,-2.2e-05,227.6
18.9,72.935,37.78,1.7936,-3.6e-05,287.1
18.9,72.94,29.09,1.4863,1.9e-05,374.0
18.9,72.945,21.89,0.9538,3.4e-05,446.0
18.9,72.95,17.27,0.159,5e-05,492.2
18.9,72.955,16.5,0.0578,6e-06,499.9
18.9,72.96,16.22,1.0529,7e-05,502.7
18.9,72.965,21.32,1.4347,2.4e-05,451.7
18.9,72.97,28.27,1.0838,-2.2e-05,382.2
18.9,72.975,33.52,0.4191,-4.2e-05,329.7
18.9,72.98,35.55,1.511,6.9e-05,309.4
18.9,72.985,42.87,0.3242,-7.5e-05,236.2
18.9,72.99,44.44,0.2023,-3.3e-05,220.5
18.9,72.995,43.46,0.7866,6.2e-05,230.3
18.9,73.0,47.27,4.8897,-0.000358,192.2
18.905,72.77,23.53,1.3563,0.000223,429.6
18.905,72.775,16.96,1.0178,2.1e-05,495.3
18.905,72.78,12.03,1.8225,-5.1e-05,544.6
18.905,72.785,3.2,0.6607,7.3e-05,632.9
18.905,72.79,0.0,0.0,4.2e-05,664.9
18.905,72.795,0.0,0.0,0.0,664.9
18.905,72.8,0.0,0.0,0.0,664.9
18.905,72.805,0.0,0.0,0.0,664.9
18.905,72.81,0.0,0.0,0.0,664.9
18.905,72.815,0.0,0.161,1e-05,664.9
18.905,72.82,0.78,1.2428,6.8e-05,657.1
18.905,72.825,6.8,1.6884,2.8e-05,596.9
18.905,72.83,14.98,2.0246,2.1e-05,515.1
18.905,72.835,24.79,0.159,-0.000117,417.0
18.905,72.84,25.56,1.3583,7.5e-05,409.3
18.905,72.845,32.14,0.4542,-0.000114,343.5
18.905,72.85,29.94,0.9848,-3.3e-05,365.5
18.905,72.855,25.17,0.6091,2.4e-05,413.2
18.905,72.86,22.22,0.8589,-1.6e-05,442.7
18.905,72.865,18.06,0.799,4e-06,484.3
18.905,72.87,14.19,1.4058,-3.8e-05,523.0
18.905,72.875,7.38,1.3232,5e-06,591.1
18.905,72.88,0.97,0.2643,0.0001,655.2
18.905,72.885,2.25,0.1466,-2.6e-05,642.4
18.905,72.89,1.54,0.5864,4.6e-05,649.5
18.905,72.895,4.38,2.171,0.0001,621.1
18.905,72.9,14.9,1.2139,-6e-05,515.9
18.905,72.905,20.78,2.7934,9.9e-05,457.1
18.905,72.91,34.32,1.5667,-7.7e-05,321.7
18.905,72.915,41.91,0.3407,-7.7e-05,245.8
18.905,72.92,43.56,0.7887,2.8e-05,229.3
18.905,72.925,47.38,0.3304,-7e-05,191.1
18.905,72.93,45.78,0.6173,-1.8e-05,207.1
18.905,72.935,42.79,2.1896,-9.9e-05,237.0
18.905,72.94,32.18,0.6937,9.4e-05,343.1
18.905,72.945,28.82,2.1112,-8.9e-05,376.7
18.905,72.95,18.59,0.0888,0.000127,479.0
18.905,72.955,18.16,0.3035,-1.4e-05,483.3
18.905,72.96,16.69,0.5368,-1.5e-05,498.0
18.905,72.965,14.09,1.5378,0.000131,524.0
18.905,72.97,21.54,0.0764,-9.2e-05,449.5
18.905,72.975,21.91,2.6348,0.000161,445.8
18.905,72.98,34.68,1.7771,-5.4e-05,318.1
18.905,72.985,43.29,1.0797,-4.4e-05,232.0
18.905,72.99,48.52,1.0157,-4e-06,179.7
18.905,72.995,53.44,1.0075,-1e-06,130.5
18.905,73.0,58.32,9.1064,-0.000641,81.7
18.91,72.77,13.84,1.4759,0.00067,526.5
18.91,72.775,20.99,1.6204,-0.000195,455.0
18.91,72.78,13.14,0.0083,0.000101,533.5
18.91,72.785,13.1,2.103,-0.000132,533.9
18.91,72.79,2.91,0.5513,9.8e-05,635.8
18.91,72.795,0.24,0.0496,3.2e-05,662.5
18.91,72.8,0.0,0.0,3e-06,664.9
18.91,72.805,0.0,0.0,0.0,664.9
18.91,72.81,0.0,0.0,0.0,664.9
18.91,72.815,0.0,0.0,0.0,664.9
18.91,72.82,0.0,1.1829,7.4e-05,664.9
18.91,72.825,5.73,2.9911,0.000114,607.6
18.91,72.83,20.23,1.4347,-9.8e-05,462.6
18.91,72.835,27.18,2.6904,7.9e-05,393.1
18.91,72.84,40.22,0.6091,-0.000208,262.7
18.91,72.845,37.27,0.1507,2.9e-05,292.2
18.91,72.85,36.54,1.3563,-7.6e-05,299.5
18.91,72.855,29.97,1.9813,-3.9e-05,365.2
18.91,72.86,20.37,2.6739,-4.4e-05,461.2
18.91,72.865,7.41,0.9043,0.000111,590.8
18.91,72.87,3.03,0.4955,2.6e-05,634.6
18.91,72.875,0.63,0.1301,2.3e-05,658.6
18.91,72.88,0.0,0.8155,5.9e-05,664.9
18.91,72.885,3.95,1.1004,1.8e-05,625.4
18.91,72.89,9.28,0.863,-1.5e-05,572.1
18.91,72.895,13.46,0.9951,8e-06,530.3
18.91,72.9,18.28,2.2205,7.7e-05,482.1
18.91,72.905,29.04,0.1652,-0.00015,374.5
18.91,72.91,28.24,1.1994,8.6e-05,382.5
18.91,72.915,34.05,0.64,-3.5e-05,324.4
18.91,72.92,37.15,1.2221,3.7e-05,293.4
18.91,72.925,43.07,0.5286,-4.4e-05,234.2
18.91,72.93,45.63,0.7144,-7.8e-05,208.6
18.91,72.935,42.17,0.4191,1.9e-05,243.2
18.91,72.94,40.14,0.9951,-3.6e-05,263.5
18.91,72.945,35.32,0.8712,8e-06,311.7
18.91,72.95,31.1,3.0096,-0.000135,353.9
18.91,72.955,16.51,0.2312,0.000175,499.8
18.91,72.96,15.39,0.7969,-3.6e-05,511.0
18.91,72.965,11.53,0.064,4.6e-05,549.6
18.91,72.97,11.22,1.4986,9.8e-05,552.7
18.91,72.975,18.48,2.1917,4.4e-05,480.1
18.91,72.98,29.1,2.4019,1.3e-05,373.9
18.91,72.985,40.74,3.0776,4.3e-05,257.5
18.91,72.99,55.66,1.057,-0.000127,108.3
18.91,72.995,60.78,0.9497,-7e-06,57.1
18.91,73.0,65.38,11.3933,-0.000786,11.1
18.915,72.77,9.46,0.9476,0.000786,570.3
18.915,72.775,14.05,0.0847,-5.4e-05,524.4
18.915,72.78,14.46,0.223,-1.9e-05,520.3
18.915,72.785,13.38,0.9187,-4.4e-05,531.1
18.915,72.79,8.93,1.5482,-4e-05,575.6
18.915,72.795,1.43,0.2953,7.9e-05,650.6
18.915,72.8,0.0,0.0,1.9e-05,664.9
18.915,72.805,0.0,0.0,0.0,664.9
18.915,72.81,0.0,0.0,0.0,664.9
18.915,72.815,0.0,0.0,0.0,664.9
18.915,72.82,0.0,0.576,3.6e-05,664.9
18.915,72.825,2.79,3.5735,0.000189,637.0
18.915,72.83,20.12,1.8225,-0.00011,463.7
18.915,72.835,28.95,1.9751,1e-05,375.4
18.915,72.84,38.52,0.0681,-0.000129,279.7
18.915,72.845,38.19,1.2964,-7.7e-05,283.0
18.915,72.85,31.91,1.0962,1.3e-05,345.8
18.915,72.855,26.6,2.7728,-0.000106,398.9
18.915,72.86,13.16,1.1891,0.0001,533.3
18.915,72.865,7.4,0.6297,3.5e-05,590.9
18.915,72.87,4.35,0.8981,-1.7e-05,621.4
18.915,72.875,0.0,0.0,5.6e-05,664.9
18.915,72.88,0.0,2.0267,0.000128,664.9
18.915,72.885,9.82,0.543,-9.3e-05,566.7
18.915,72.89,12.45,1.4574,5.8e-05,540.4
18.915,72.895,19.51,1.282,-1.1e-05,469.8
18.915,72.9,25.72,0.4852,-5e-05,407.7
18.915,72.905,28.07,0.4542,-2e-06,384.2
18.915,72.91,30.27,0.3923,-4e-06,362.2
18.915,72.915,32.17,0.6276,-6.4e-05,343.2
18.915,72.92,29.13,0.7763,8.8e-05,373.6
18.915,72.925,32.89,1.7586,6.2e-05,336.0
18.915,72.93,41.41,0.3138,-0.00013,250.8
18.915,72.935,39.89,0.064,2.4e-05,266.0
18.915,72.94,40.2,0.8816,-5.9e-05,262.9
18.915,72.945,35.93,0.9249,-3e-06,305.6
18.915,72.95,31.45,1.6472,-4.5e-05,350.4
18.915,72.955,23.47,1.87,-1.4e-05,430.2
18.915,72.96,14.41,1.1231,4.7e-05,520.8
18.915,72.965,8.97,0.4563,9.9e-05,575.2
18.915,72.97,11.18,0.5802,8e-06,553.1
18.915,72.975,13.99,2.1587,9.9e-05,525.0
18.915,72.98,24.45,2.037,-8e-06,420.4
18.915,72.985,34.32,4.3933,0.000149,321.7
18.915,72.99,55.64,1.6699,-0.000172,108.5
18.915,72.995,63.73,0.4088,-7.9e-05,27.6
18.915,73.0,65.71,12.5511,-0.000828,7.8
18.92,72.77,3.93,1.0446,0.000868,625.6
18.92,72.775,8.99,0.4604,-3.7e-05,575.0
18.92,72.78,11.22,0.4893,-6e-05,552.7
18.92,72.785,8.85,1.0611,-3.6e-05,576.4
18.92,72.79,3.71,0.2065,5.4e-05,627.8
18.92,72.795,2.71,0.5595,-2.2e-05,637.8
18.92,72.8,0.0,0.0,3.5e-05,664.9
18.92,72.805,0.0,0.0,0.0,664.9
18.92,72.81,0.0,0.0,0.0,664.9
18.92,72.815,0.0,0.0,0.0,664.9
18.92,72.82,0.0,1.6905,0.000106,664.9
18.92,72.825,8.19,1.7627,5e-06,583.0
18.92,72.83,16.73,1.4718,-1.8e-05,497.6
18.92,72.835,23.86,2.4534,6.2e-05,426.3
18.92,72.84,35.75,1.0611,-0.000221,307.4
18.92,72.845,30.61,0.4253,4e-05,358.8
18.92,72.85,28.55,1.0178,-3.7e-05,379.4
18.92,72.855,23.62,2.1958,-7.4e-05,428.7
18.92,72.86,12.98,0.0702,0.000134,535.1
18.92,72.865,12.64,1.5564,-9.3e-05,538.5
18.92,72.87,5.1,0.5554,6.3e-05,613.9
18.92,72.875,2.41,1.0529,0.000101,640.8
18.92,72.88,7.51,0.8795,-1.1e-05,589.8
18.92,72.885,11.77,0.9559,5e-06,547.2
18.92,72.89,16.4,0.6091,-2.2e-05,500.9
18.92,72.895,19.35,0.5533,-4e-06,471.4
18.92,72.9,22.03,1.8081,7.9e-05,444.6
18.92,72.905,30.79,1.3459,-0.000198,357.0
18.92,72.91,24.27,1.3872,0.000172,422.2
18.92,72.915,30.99,0.7433,-0.000134,355.0
18.92,72.92,27.39,1.218,0.000123,391.0
18.92,72.925,33.29,0.5409,-4.3e-05,332.0
18.92,72.93,35.91,0.6689,8e-06,305.8
18.92,72.935,39.15,0.2663,-2.5e-05,273.4
18.92,72.94,40.44,1.2634,-9.6e-05,260.5
18.92,72.945,34.32,0.4666,5e-05,321.7
18.92,72.95,32.06,1.5131,-6.6e-05,344.3
18.92,72.955,24.73,0.6194,5.6e-05,417.6
