node_id,node_type,latitude,longitude,capacity_ls
N0053,inlet,19.247903,72.973399,151.0
N0054,junction,19.128843,72.914124,458.1
N0055,manhole,18.974713,72.965921,72.4
N0056,junction,18.974063,72.790484,215.6
N0057,manhole,18.875646,72.890943,398.0
N0058,junction,19.06766,72.821631,141.4
N0059,inlet,18.985185,72.883659,108.6
N0060,junction,18.956227,72.95954,377.0
N0061,manhole,19.03341,72.803567,180.6
N0062,junction,19.050391,72.827113,312.3
N0063,manhole,18.874128,72.800637,195.5
N0064,junction,18.954887,72.858204,240.5
N0065,manhole,18.908112,72.783513,199.8
N0066,inlet,19.268696,72.986044,485.2
N0067,junction,19.193941,72.771233,277.0
N0068,inlet,19.138505,72.800415,451.5
N0069,manhole,18.974117,72.885862,468.6
N0070,manhole,18.905859,72.933359,244.8
N0071,inlet,18.887665,72.79941,442.3
N0072,junction,19.014237,72.86892,456.3
N0073,inlet,19.076789,72.870228,124.2
N0074,inlet,19.17547,72.804791,433.9
N0075,inlet,18.891289,72.804183,153.4
N0076,inlet,18.935422,72.877441,102.2
N0077,inlet,18.886317,72.852,369.1
N0078,inlet,18.914996,72.935546,116.6
N0079,manhole,19.217269,72.811551,125.7
N0080,inlet,19.095299,72.922522,145.6
N0081,manhole,19.080406,72.901281,237.4
N0082,inlet,19.140763,72.974095,61.7
N0083,junction,18.918796,72.855918,468.1
N0084,inlet,18.93151,72.788645,423.8
N0085,inlet,19.121343,72.831943,346.1
N0086,manhole,19.132469,72.988706,196.2
N0087,junction,19.232751,72.953318,108.2
N0088,junction,18.983182,72.953574,384.7
N0089,junction,19.022556,72.861737,130.1
N0090,inlet,18.905675,72.96604,123.3
N0091,inlet,19.128867,72.989519,119.4
N0092,inlet,19.164356,72.981991,456.7
N0093,inlet,19.136208,72.961372,280.7
N0094,inlet,19.060576,72.899503,240.4
N0095,inlet,19.115547,72.869844,241.7
N0096,inlet,19.259309,72.925581,341.4
N0097,inlet,19.080911,72.918862,87.8
N0098,manhole,19.232883,72.879851,116.9
N0099,inlet,19.206615,72.890311,183.0
N0100,manhole,19.236921,72.888085,279.8
N0101,inlet,19.134342,72.90075,164.0
N0102,manhole,19.177459,72.773742,383.2
N0103,manhole,19.207164,72.78041,237.3
N0104,inlet,19.104883,72.87465,351.6
N0105,inlet,19.006534,72.981166,414.5
N0106,manhole,19.168812,72.908932,442.2
N0107,junction,18.877166,72.860835,56.0
N0108,inlet,19.146722,72.96982,484.6
N0109,inlet,18.99112,72.95702,327.5
N0110,junction,19.140041,72.955067,89.4
N0111,manhole,18.914765,72.773654,486.7
N0112,manhole,19.062447,72.803385,158.8
N0113,junction,18.946366,72.839211,258.5
N0114,manhole,18.916584,72.977556,382.5
N0115,inlet,19.058596,72.967753,313.4
N0116,junction,19.20178,72.860099,200.2
N0117,junction,19.042715,72.865608,273.1
N0118,junction,19.091722,72.836878,269.4
N0119,junction,19.159846,72.985115,457.3
N0120,manhole,19.155716,72.891511,239.9
N0121,manhole,18.97714,72.919109,450.1
N0122,junction,19.245586,72.849756,363.9
N0123,inlet,19.160484,72.877925,247.1
N0124,junction,19.233628,72.848005,320.9
N0125,junction,19.057387,72.97313,375.3
N0126,inlet,19.203232,72.924815,380.6
N0127,manhole,19.118737,72.834965,387.2
N0128,manhole,18.939316,72.805952,271.5
N0129,inlet,18.991461,72.81817,71.2
N0130,inlet,19.012818,72.806479,422.6
N0131,manhole,19.192726,72.847679,101.3
N0132,junction,18.959638,72.829299,203.1
N0133,manhole,19.178038,72.898115,453.3
N0134,junction,19.111716,72.793953,72.7
N0135,inlet,19.255059,72.943826,488.6
N0136,junction,19.182863,72.987898,420.6
N0137,manhole,18.936819,72.797154,142.4
N0138,junction,18.986849,72.871549,277.7
N0139,manhole,18.931718,72.853659,418.6
N0140,manhole,19.045643,72.865622,396.1
N0141,inlet,19.006528,72.886155,88.4
N0142,inlet,19.014257,72.922949,118.2
N0143,inlet,19.184886,72.801739,243.0
N0144,inlet,19.250736,72.888716,357.0
N0145,inlet,18.928234,72.772288,412.8
N0146,manhole,19.005321,72.86238,397.6
N0147,inlet,19.173677,72.921841,338.7
N0148,manhole,19.261093,72.995411,409.6
N0149,inlet,19.037722,72.97373,365.4
N0150,junction,19.167079,72.979123,53.6
N0151,junction,19.11416,72.803778,231.8
N0152,junction,19.119744,72.912183,249.0
N0153,junction,19.031802,72.815378,185.7
N0154,inlet,19.025997,72.935343,445.9
N0155,junction,18.983571,72.791349,298.3
N0156,junction,18.934011,72.776415,408.5
N0157,manhole,19.202892,72.839907,240.2
N0158,junction,18.893978,72.855785,332.1
N0159,manhole,19.172624,72.986509,251.9
N0160,manhole,19.051259,72.996079,412.4
N0161,junction,19.155859,72.985634,349.5
N0162,manhole,19.010135,72.835443,403.2
N0163,junction,18.925989,72.856863,381.9
N0164,junction,19.102948,72.959254,212.6
N0165,junction,19.040277,72.864772,91.5
N0166,manhole,19.060501,72.872618,216.2
N0167,junction,19.093587,72.94913,442.4
N0168,junction,19.039369,72.871218,469.0
N0169,inlet,19.199525,72.8032,107.2
N0170,manhole,19.257213,72.888033,288.1
N0171,inlet,19.059342,72.941694,474.8
N0172,manhole,19.11064,72.863983,104.4
N0173,manhole,19.079111,72.797081,187.2
N0174,inlet,19.06437,72.951977,114.0
N0175,manhole,19.244728,72.840188,177.6
N0176,junction,19.065517,72.798135,206.9
N0177,inlet,19.062471,72.841231,253.6
N0178,inlet,19.060091,72.935608,322.6
N0179,junction,19.124584,72.945186,350.2
N0180,junction,19.000087,72.953957,349.0
N0181,manhole,19.230098,72.84797,70.6
N0182,inlet,19.164365,72.918561,439.7
N0183,junction,19.122044,72.947467,189.0
N0184,junction,19.093741,72.814258,328.4
N0185,manhole,19.252917,72.890003,387.8
N0186,manhole,18.918113,72.985322,130.9
N0187,manhole,18.968115,72.932292,449.4
N0188,junction,19.112742,72.862414,70.2
N0189,manhole,19.005983,72.811517,60.8
N0190,inlet,18.972871,72.796368,94.7
N0191,manhole,18.943068,72.94671,119.4
N0192,junction,18.937676,72.911329,196.4
N0193,manhole,18.98921,72.792711,114.1
N0194,inlet,19.020205,72.960381,104.4
N0195,junction,19.104412,72.883385,388.6
N0196,manhole,18.977715,72.843217,298.9
N0197,manhole,19.032998,72.82376,448.8
N0198,junction,19.140039,72.826653,299.6
N0199,inlet,19.097298,72.872576,430.8
