road_id,ward,rainfall_mm_hr,elevation,slope,curvature,flow_accumulation,distance_to_drain,drain_capacity,impervious_ratio,road_width,historical_flood_score,water_depth_cm
R0031,Ward_10,4.579861111111111,22.62,0.929,-3e-06,438.7,1230.578040183861,108.2,0.55,7,6.975,37.4
R0032,Ward_10,6.250277777777778,0.0,0.0,7.2e-05,664.9,1432.2520821422931,448.8,0.55,3,5.0,54.6
R0033,Ward_22,7.504722222222223,39.21,0.8506,-4.3e-05,272.8,2183.507077921642,469.0,0.7,7,11.6,28.0
R0034,Ward_20,5.255694444444445,35.01,2.6307,1.1e-05,314.8,1111.2549771523456,240.4,0.95,21,6.0,29.2
R0035,Ward_23,4.675694444444444,25.84,1.284,-1.9e-05,406.5,1501.519024515275,191.2,0.95,19,6.7,40.4
R0036,Ward_20,4.969861111111111,29.38,1.5915,-7e-05,371.1,1067.3938928764105,350.3,0.55,7,4.65,25.3
R0037,Ward_16,5.396111111111111,11.44,0.4873,7.5e-05,550.5,1081.685296010705,145.6,0.7,10,10.1,52.2
R0038,Ward_14,4.675694444444444,9.27,0.3427,7.3e-05,572.2,909.0874517665749,191.2,0.85,13,7.733333333333334,50.4
R0039,Ward_18,7.782777777777778,19.0,0.7618,9e-06,474.9,406.3320214458455,384.3,0.7,9,8.966666666666667,31.4
R0040,Ward_22,6.311944444444444,4.16,1.3171,5.5e-05,623.3,497.92613282353847,240.5,0.85,14,11.166666666666666,41.3
R0041,Ward_11,7.185555555555556,10.28,1.1189,4.5e-05,562.1,238.6754011772838,72.7,0.95,20,9.875,36.7
R0042,Ward_1,5.910277777777777,32.19,2.6863,-0.000109,343.0,1757.8132896661784,89.4,0.55,3,13.485714285714286,39.4
R0043,Ward_6,5.809722222222223,20.2,0.2602,0.000137,462.9,943.9536346783674,453.3,0.85,12,20.0,49.2
R0044,Ward_19,7.197361111111111,0.0,0.0,0.0,664.9,1730.254925319788,128.1,0.95,18,10.2,64.3
R0045,Ward_12,6.606111111111111,26.55,0.0599,-0.000125,399.4,1085.1102583676607,299.6,0.85,10,9.72,46.4
R0046,Ward_24,4.94625,22.03,2.035,1e-05,444.6,395.09340329502305,107.7,0.55,4,8.0,27.9
R0047,Ward_11,4.742638888888889,36.19,0.6916,6e-05,303.0,1653.564510359856,474.8,0.7,9,7.625,31.6
R0048,Ward_21,5.7498611111111115,22.32,2.9026,7.5e-05,441.7,1191.951477243019,119.4,0.85,13,12.85,39.6
R0049,Ward_10,5.904305555555556,15.25,0.6173,-0.000121,512.4,1643.8744144022548,433.9,0.55,5,12.1125,41.0
R0050,Ward_17,6.425833333333333,0.0,0.0,0.0,664.9,455.28209551591004,292.3,0.7,10,19.6,49.2
R0051,Ward_2,5.867777777777778,0.77,0.159,0.000189,657.2,304.1205304103401,86.0,0.7,6,19.259999999999998,42.1
R0052,Ward_16,5.396111111111111,12.0,0.159,4e-05,544.9,1460.3290045715257,145.6,0.7,8,9.559999999999999,53.5
R0053,Ward_3,6.673333333333334,0.0,0.0,0.0,664.9,2603.846032326715,180.6,0.95,20,3.0,56.6
R0054,Ward_10,4.590138888888889,10.9,0.5162,5e-05,555.9,1406.934761653599,124.2,0.85,13,9.18,53.2
R0055,Ward_1,7.621388888888889,0.0,0.8919,5.6e-05,664.9,2398.5705851213675,187.2,0.55,4,12.14,53.8
R0056,Ward_14,7.772777777777778,7.32,1.1994,0.000122,591.7,1064.4276462721891,241.7,0.55,4,13.9,48.7
R0057,Ward_15,5.136111111111111,40.49,0.161,-2.5e-05,260.0,970.0439852064555,170.1,0.95,20,8.1,38.3
R0058,Ward_19,5.305555555555555,32.74,0.9745,1.5e-05,337.5,815.534908100587,458.1,0.95,22,6.2,28.4
R0059,Ward_12,5.346111111111111,26.34,1.4698,3.7e-05,401.5,1090.7919420280348,87.8,0.95,21,4.8,39.8
R0060,Ward_11,5.52625,0.0,0.0,1.2e-05,664.9,71.72142132504797,114.1,0.55,5,15.66,43.4
R0061,Ward_10,5.2058333333333335,20.99,0.8072,1.6e-05,455.0,1434.1843447453832,277.9,0.95,19,7.0,45.1
R0062,Ward_16,5.659722222222222,11.18,0.5802,8e-06,553.1,636.3826040869108,382.5,0.55,4,6.660000000000001,37.5
R0063,Ward_11,5.119027777777777,35.04,1.3047,-5.3e-05,314.5,658.6885973501753,130.1,0.7,9,1.7,25.2
R0064,Ward_16,7.161388888888889,16.02,1.0343,7.2e-05,504.7,585.8325005153278,298.9,0.7,10,10.1,36.9
R0065,Ward_23,5.199166666666667,8.35,0.2684,-3.3e-05,581.4,1481.7754922970198,124.2,0.7,9,4.3,56.1
R0066,Ward_24,6.960138888888888,13.26,1.5626,5e-06,532.3,920.1638986090383,341.4,0.55,3,12.05,37.8
R0067,Ward_18,5.460694444444445,43.2,1.1932,-1e-06,232.9,1221.3475529878547,458.1,0.85,13,13.0,32.5
R0068,Ward_15,5.917916666666667,16.14,2.1545,-3.6e-05,503.5,1303.649788367304,275.1,0.95,18,20.8,45.3
R0069,Ward_20,8.12486111111111,15.78,0.8011,-0.000133,507.1,925.8302799202643,290.1,0.85,10,27.46,50.9
R0070,Ward_22,4.597083333333334,9.11,1.5647,5.6e-05,573.8,752.3372457937123,240.4,0.55,5,10.4,40.7
R0071,Ward_7,6.7188888888888885,11.95,0.031,-1.8e-05,545.4,665.476103152248,84.5,0.85,12,6.866666666666667,46.1
R0072,Ward_24,5.8381944444444445,37.27,0.1507,2.9e-05,292.2,569.1952781840388,80.3,0.55,7,6.128571428571428,31.7
R0073,Ward_21,7.093333333333334,0.0,0.1012,3.8e-05,664.9,1476.755453851278,433.9,0.55,3,13.866666666666667,53.2
R0074,Ward_17,7.222777777777777,0.0,0.0,0.000611,664.9,604.5665139251221,383.2,0.95,20,11.5,52.0
R0075,Ward_8,4.283611111111111,34.46,1.0137,3.4e-05,320.3,1113.6558759188165,346.4,0.7,7,6.577777777777778,31.1
R0076,Ward_16,5.8381944444444445,20.39,1.3377,0.000103,461.0,863.0106402341513,332.1,0.55,4,8.166666666666666,35.0
R0077,Ward_4,6.3966666666666665,0.0,1.4863,9.3e-05,664.9,651.2899611156989,125.7,0.95,21,10.499999999999998,47.0
R0078,Ward_14,6.3966666666666665,3.31,0.6834,7.8e-05,631.8,857.4805578754432,107.2,0.95,19,7.959999999999999,55.1
R0079,Ward_13,6.941944444444444,56.11,0.2189,3.6e-05,103.8,1074.7413520957227,212.6,0.95,18,9.36,34.7
R0080,Ward_8,4.813611111111111,29.65,0.512,3.9e-05,368.4,1140.730699602318,151.0,0.7,8,9.325,39.8
R0081,Ward_9,7.781666666666666,43.77,2.2721,-0.0001,227.2,1528.3971228036014,244.8,0.85,10,6.233333333333333,28.7
R0082,Ward_6,4.969861111111111,35.25,2.3896,-0.0001,312.4,1339.1581546886043,474.8,0.85,10,14.925,29.8
R0083,Ward_4,5.8381944444444445,26.6,2.7728,-0.000106,398.9,537.1461116987175,468.1,0.7,10,9.1,24.9
R0084,Ward_13,7.197361111111111,0.0,0.0,0.000115,664.9,1882.552269604037,290.1,0.55,6,0.0,49.7
R0085,Ward_20,4.742638888888889,29.22,0.415,-2.7e-05,372.7,1358.7747980528693,313.4,0.55,5,11.866666666666667,40.0
R0086,Ward_14,6.519583333333333,26.23,0.1982,-7e-05,402.6,821.9357005152931,279.8,0.7,7,4.475,38.2
R0087,Ward_5,5.253888888888889,21.3,0.4191,-9e-06,451.9,448.8331869085942,118.2,0.7,8,0.9500000000000001,33.1
R0088,Ward_7,7.772777777777778,6.88,0.4955,6.5e-05,596.1,1436.5491243822955,241.7,0.95,22,9.516666666666667,55.6
R0089,Ward_20,5.136111111111111,18.37,0.19,-0.00017,481.2,766.4657237294559,413.0,0.85,10,8.4,41.6
R0090,Ward_22,5.615277777777778,28.23,0.8547,-0.000135,382.6,500.81783462720824,196.4,0.7,10,23.799999999999997,33.6
R0091,Ward_6,6.515694444444445,30.79,1.3459,-0.000198,357.0,2144.157146767963,196.4,0.55,5,9.2,35.7
R0092,Ward_20,5.084305555555556,51.56,0.7763,-2e-05,149.3,1759.7592279659898,458.1,0.7,9,16.2,31.4
R0093,Ward_7,5.975694444444445,33.88,1.0384,-8.5e-05,326.1,283.318251315367,449.4,0.55,5,4.125,15.0
R0094,Ward_24,5.136111111111111,0.0,0.0,0.0,664.9,409.70981282416,94.7,0.85,13,13.0,49.4
R0095,Ward_3,5.855277777777777,45.94,1.7875,-0.000106,205.5,1366.0379346138247,189.7,0.95,20,21.580000000000002,33.4
R0096,Ward_6,6.671944444444445,35.44,1.4986,-0.000185,310.5,590.5759585260081,189.2,0.55,5,18.419999999999998,25.8
R0097,Ward_8,5.4376388888888885,0.0,0.0,0.0,664.9,1380.440628949681,187.2,0.95,19,12.166666666666666,65.8
R0098,Ward_19,7.025833333333334,9.31,1.284,-5.8e-05,571.8,1157.4820436330601,413.0,0.95,22,12.133333333333333,46.8
R0099,Ward_2,5.16125,24.12,0.5017,1.6e-05,423.7,1332.7773675250828,179.3,0.55,6,5.866666666666667,38.6
R0100,Ward_19,6.149583333333333,0.0,1.4223,8.9e-05,664.9,1423.5647386627686,243.0,0.95,21,13.7,54.6
R0101,Ward_15,5.541944444444444,34.78,0.3304,3e-06,317.1,476.45714110387524,351.6,0.85,13,10.9,27.7
R0102,Ward_9,5.957083333333333,8.47,0.0929,4.6e-05,580.2,531.5660362079112,403.2,0.85,12,5.0,39.0
R0103,Ward_5,6.515694444444445,34.32,1.5667,-7.7e-05,321.7,1391.9936517975295,107.7,0.85,12,13.633333333333333,36.4
R0104,Ward_24,6.074722222222222,6.96,1.1065,7.1e-05,595.3,652.1924487902401,192.4,0.95,22,9.0375,43.0
R0105,Ward_22,5.798194444444444,24.86,0.6875,2e-05,416.3,793.8967850223972,179.3,0.95,20,8.875,41.0
R0106,Ward_13,5.396111111111111,15.17,0.2663,4.8e-05,513.2,1102.4957157879549,145.6,0.85,12,12.95,55.4
R0107,Ward_4,5.679305555555556,16.9,2.6389,0.000102,495.9,1417.5822274036423,429.9,0.55,7,0.0,30.0
R0108,Ward_15,6.2091666666666665,3.75,1.4244,4.7e-05,627.4,2363.352171281183,433.9,0.7,7,7.449999999999999,49.1
R0109,Ward_4,6.7188888888888885,0.0,0.0,0.0,664.9,1097.8896974650406,130.1,0.7,8,16.9,64.3
R0110,Ward_1,6.13125,11.59,1.0322,3.8e-05,549.0,2425.3881449254004,258.5,0.7,6,8.4,45.2
R0111,Ward_21,5.16125,32.02,0.929,2.5e-05,344.7,1691.9259995510824,293.0,0.7,9,5.0,34.8
R0112,Ward_10,5.4286111111111115,23.47,1.87,-1.4e-05,430.2,1403.525858264583,123.3,0.55,4,4.716666666666667,37.5
R0113,Ward_17,5.497916666666667,25.13,1.4904,-5e-06,413.6,1304.9376494388155,328.4,0.55,3,7.066666666666667,33.5
R0114,Ward_2,8.12486111111111,0.41,2.4328,0.000148,660.8,605.608283050507,237.3,0.95,19,7.8125,45.0
R0115,Ward_7,6.747083333333333,30.43,0.7536,-2.6e-05,360.6,639.2667671468926,243.0,0.7,8,16.975,35.2
R0116,Ward_12,6.363472222222223,13.96,1.9215,0.000129,525.3,528.0945107985893,240.2,0.95,20,6.88,35.5
R0117,Ward_9,4.283611111111111,21.99,0.2416,0.000195,445.0,826.8968346589505,395.4,0.95,22,14.100000000000001,41.6
R0118,Ward_24,4.4061111111111115,4.16,1.8452,9.2e-05,623.3,1569.1603803922967,107.7,0.95,18,3.9499999999999997,46.1
R0119,Ward_5,4.909722222222222,25.65,1.4574,2.7e-05,408.4,756.062055061885,72.4,0.7,6,10.1,31.4
R0120,Ward_19,6.37,16.47,1.2551,-3.8e-05,500.2,2797.8521997754983,86.0,0.95,18,7.25,51.4
R0121,Ward_7,4.675694444444444,19.16,0.6194,2.7e-05,473.3,1619.2081715159743,191.2,0.85,13,3.5,46.2
R0122,Ward_10,4.702777777777778,23.58,0.2023,-0.000106,429.1,793.9242930476746,271.5,0.7,8,5.966666666666666,37.1
R0123,Ward_15,4.80375,19.24,1.4842,-3.4e-05,472.5,921.04677724843,247.1,0.85,12,4.0,39.7
R0124,Ward_3,5.727222222222222,24.16,0.4026,-0.00012,423.3,433.2130370657702,332.1,0.85,14,15.966666666666667,34.6
R0125,Ward_4,5.541944444444444,11.99,0.4976,-8e-06,545.0,629.1359395752943,241.7,0.85,10,11.924999999999999,41.4
R0126,Ward_21,6.710833333333333,0.0,0.0,0.0,664.9,817.2772109413975,258.5,0.85,11,13.059999999999999,54.6
R0127,Ward_11,5.4376388888888885,0.0,0.0,0.0,664.9,360.51093041444415,158.8,0.7,10,5.6,46.6
R0128,Ward_21,5.659722222222222,14.09,1.5378,0.000131,524.0,248.24752060470544,123.3,0.95,22,12.65,34.1
R0129,Ward_20,5.798194444444444,17.3,1.8679,8.1e-05,491.9,487.81678622695887,183.0,0.95,20,4.933333333333334,32.6
R0130,Ward_8,6.363472222222223,7.55,0.3861,1e-05,589.4,263.44268778420076,240.2,0.85,13,13.05,41.7
R0131,Ward_19,5.855277777777777,37.16,0.543,-0.000102,293.3,1434.4537518327609,123.3,0.85,12,14.65,42.4
R0132,Ward_7,4.80375,11.77,0.0041,-1.6e-05,547.2,349.0152686613684,247.1,0.7,7,13.0,42.3
R0133,Ward_14,5.9679166666666665,16.45,0.8671,6.2e-05,500.4,2073.6269776089002,332.1,0.7,6,10.88,45.0
R0134,Ward_20,5.084305555555556,55.27,1.9463,-0.000143,112.2,2219.4629015828154,439.7,0.85,12,14.950000000000001,27.4
R0135,Ward_2,5.773333333333333,11.67,0.192,3.4e-05,548.2,273.9957076528153,363.9,0.95,22,9.6,39.4
R0136,Ward_20,6.13125,35.75,1.0611,-0.000221,307.4,1759.8523341545472,80.3,0.95,20,13.15,35.9
R0137,Ward_1,4.675694444444444,25.84,1.284,-1.9e-05,406.5,1702.1254128431574,191.2,0.7,9,12.28,40.8
R0138,Ward_19,5.289722222222222,30.36,1.3748,-5.7e-05,361.3,926.0752758493503,196.2,0.7,10,9.616666666666667,35.2
R0139,Ward_2,6.368333333333333,18.96,1.2799,8.1e-05,475.3,766.2298803078409,328.4,0.85,11,3.0999999999999996,35.2
R0140,Ward_23,5.72861111111111,7.5,0.7164,-6e-05,589.9,2050.1722331980627,369.1,0.95,18,12.925,52.0
R0141,Ward_20,6.941944444444444,29.23,1.7854,8.6e-05,372.6,2778.856928172367,350.3,0.85,12,9.1,37.0
R0142,Ward_11,6.559861111111111,15.9,0.128,9e-06,505.9,1625.93096229209,177.6,0.55,6,9.883333333333333,47.9
R0143,Ward_10,6.941944444444444,29.17,0.9332,-0.0,373.2,1714.1721696605618,95.0,0.55,4,12.379999999999999,41.4
R0144,Ward_20,7.197361111111111,0.86,0.1776,2.4e-05,656.3,2744.307557497215,290.1,0.95,18,10.24,56.3
R0145,Ward_1,6.275138888888889,38.3,0.3014,-6.3e-05,281.9,745.1246879837,189.7,0.85,11,17.483333333333334,37.7
R0146,Ward_6,3.7352777777777777,40.49,0.161,-2.5e-05,260.0,741.8013278561227,189.0,0.85,10,6.85,31.2
R0147,Ward_1,7.197361111111111,8.83,1.8225,-2.9e-05,576.6,1476.670957986974,290.1,0.55,3,15.342857142857143,42.5
R0148,Ward_17,5.515,29.59,1.2324,-4.6e-05,369.0,1079.1529735209972,70.6,0.7,7,7.225,39.5
R0149,Ward_20,6.396111111111111,0.0,0.6462,4.1e-05,664.9,679.8942376966513,423.8,0.55,4,1.9500000000000002,42.3
R0150,Ward_1,7.035,0.0,0.0,7.3e-05,664.9,1090.3337459390452,192.4,0.55,7,6.4624999999999995,54.3
R0151,Ward_12,5.590277777777778,8.5,0.2994,-8.7e-05,579.9,2300.101228523461,72.7,0.7,8,15.083333333333334,56.2
R0152,Ward_8,5.980972222222222,17.42,0.8465,-4.2e-05,490.7,479.85052146534673,116.9,0.85,11,22.5,43.2
R0153,Ward_16,5.573472222222223,27.18,0.0062,2.9e-05,393.1,1793.47173929134,269.4,0.95,22,2.38,44.7
R0154,Ward_14,4.80375,10.76,1.6699,4.8e-05,557.3,1988.7104903769737,247.1,0.95,18,14.575000000000001,48.4
R0155,Ward_5,7.035,10.6,0.9662,-0.0001,558.9,1006.633685400267,187.2,0.7,7,2.5,50.7
R0156,Ward_18,5.773333333333333,6.16,0.0165,-7e-06,603.3,820.402387666555,363.9,0.55,4,36.53333333333334,52.2
R0157,Ward_8,6.272916666666666,0.0,0.3138,2e-05,664.9,1264.5357088220344,451.5,0.55,4,12.366666666666667,50.6
R0158,Ward_4,5.970138888888889,13.94,0.4356,-5.1e-05,525.5,375.28910696368325,486.5,0.55,3,4.225,26.2
R0159,Ward_11,5.957777777777777,18.51,1.187,-3.4e-05,479.8,669.5418659718927,145.6,0.95,22,10.6,39.8
R0160,Ward_21,5.52625,0.0,0.0,0.0,664.9,582.2041608975006,114.1,0.7,7,10.366666666666667,50.3
R0161,Ward_15,5.727222222222222,9.51,0.1012,-2.3e-05,569.8,1000.5739262797632,369.1,0.55,4,13.9,50.0
R0162,Ward_20,6.297222222222222,0.0,0.0,6e-05,664.9,682.3453042160354,279.8,0.95,22,3.1,47.9
R0163,Ward_10,5.7498611111111115,13.67,0.4852,-1.1e-05,528.2,1701.7804903229828,119.4,0.95,20,14.850000000000001,55.6
R0164,Ward_18,4.579861111111111,22.88,2.0824,8.1e-05,436.1,2594.148550546896,469.2,0.95,19,5.733333333333333,32.5
R0165,Ward_12,5.1563888888888885,32.75,1.4244,-0.000108,337.4,1022.7971735982554,88.4,0.7,7,5.928571428571429,32.9
R0166,Ward_21,6.275138888888889,23.15,0.3138,-9e-06,433.4,1053.322572276713,409.5,0.7,10,3.375,38.3
R0167,Ward_21,4.80375,11.77,0.0041,-1.6e-05,547.2,171.42135703177098,247.1,0.7,10,16.54,38.1
R0168,Ward_3,6.149583333333333,0.0,0.0,0.0,664.9,1057.3157287896624,277.0,0.95,19,4.1,54.6
R0169,Ward_1,4.8661111111111115,10.54,1.7854,2.9e-05,559.5,1163.4097729791868,240.5,0.85,13,1.0,40.9
R0170,Ward_20,5.205,44.59,0.1012,-4e-05,219.0,657.5711223911495,398.0,0.95,19,12.2,29.8
R0171,Ward_3,5.689444444444444,17.55,0.097,-3.9e-05,489.4,1661.3010128371602,298.9,0.7,6,5.050000000000001,46.8
R0172,Ward_7,5.1563888888888885,19.93,0.7226,4.4e-05,465.6,762.5580824936792,273.6,0.55,4,7.977777777777778,35.3
R0173,Ward_3,6.160416666666666,0.0,0.0,6.2e-05,664.9,1618.1072741062872,442.3,0.55,6,26.549999999999997,55.6
R0174,Ward_17,5.574722222222222,35.34,0.512,-8.1e-05,311.5,1376.36916039772,237.4,0.7,6,26.599999999999998,42.3
R0175,Ward_1,6.425833333333333,0.78,1.2428,6.8e-05,657.1,1827.4575794205539,292.3,0.7,8,10.9,53.7
R0176,Ward_24,5.573472222222223,21.77,0.3716,2.9e-05,447.2,464.37592919565014,253.6,0.7,7,11.075,33.5
R0177,Ward_1,5.069722222222222,0.0,0.0,0.0,664.9,2295.2404916487408,422.6,0.55,3,6.5,50.6
R0178,Ward_19,5.199166666666667,26.78,0.0599,-1.7e-05,397.1,389.03544577018585,237.4,0.95,19,7.699999999999999,32.4
R0179,Ward_7,6.13125,11.83,0.3572,5e-06,546.6,1100.9103505300739,486.5,0.85,14,5.333333333333333,47.6
R0180,Ward_11,5.434166666666666,8.99,0.4604,-3.7e-05,575.0,643.5110034600063,486.7,0.55,6,4.6000000000000005,34.8
R0181,Ward_19,7.329027777777778,2.43,1.8308,8.4e-05,640.6,1350.3847068427067,108.6,0.55,6,10.4,53.1
R0182,Ward_23,5.253888888888889,29.59,0.8423,8e-06,369.0,511.9227486175704,419.6,0.85,13,14.125,29.9
R0183,Ward_20,6.184166666666666,44.8,0.6978,-8e-05,216.9,526.5398426545036,429.9,0.85,13,12.825,21.2
R0184,Ward_6,6.112500000000001,26.49,0.768,-3.8e-05,400.0,1233.9204278323607,350.3,0.55,5,14.540000000000001,36.7
R0185,Ward_23,6.559861111111111,8.29,0.7515,9.6e-05,582.0,1205.6382051214393,177.6,0.95,22,4.433333333333334,50.7
R0186,Ward_16,6.164444444444444,19.89,1.3088,1.4e-05,466.0,1122.7261462805952,116.9,0.85,14,15.45,45.0
R0187,Ward_6,6.515694444444445,44.85,0.6462,-6.8e-05,216.4,1527.9596835680115,244.8,0.7,10,0.5,33.8
R0188,Ward_14,6.112500000000001,19.89,1.5688,5.1e-05,466.0,1830.6209753110754,350.3,0.85,14,22.114285714285717,44.8
R0189,Ward_6,6.272916666666666,1.52,0.4811,1.1e-05,649.7,1087.8101430397921,299.6,0.55,7,8.085714285714285,51.7
R0190,Ward_20,6.651527777777777,11.05,1.6926,-2.6e-05,554.4,1683.9781663884835,413.0,0.7,9,9.883333333333333,40.7
R0191,Ward_13,5.798194444444444,0.0,1.511,9.6e-05,664.9,1307.1291597796533,183.0,0.85,14,16.533333333333335,54.2
R0192,Ward_20,4.597083333333334,2.01,0.415,-4.7e-05,644.8,1307.531133704741,240.4,0.55,6,6.966666666666666,50.5
R0193,Ward_3,5.980972222222222,24.37,2.1174,-7.8e-05,421.2,904.1159021232304,116.9,0.95,19,6.575,39.7
R0194,Ward_19,5.318333333333333,3.8,1.9092,0.000196,626.9,1299.3355702924464,71.2,0.95,18,15.580000000000002,60.3
R0195,Ward_10,5.910277777777777,31.95,0.4418,-3.5e-05,345.4,1015.9870522872428,384.8,0.95,19,11.26,39.5
R0196,Ward_5,4.283611111111111,43.54,1.6967,-0.000107,229.5,657.215827024242,377.0,0.95,22,4.5,23.7
R0197,Ward_22,6.016944444444444,36.76,0.159,1.9e-05,297.3,801.661448829022,453.3,0.85,14,9.933333333333334,29.2
R0198,Ward_8,6.960138888888888,31.65,0.7433,-9.5e-05,348.4,1648.4290778285158,260.3,0.95,20,9.8,39.2
R0199,Ward_11,5.615277777777778,30.79,1.3459,-0.000198,357.0,1982.352471212251,196.4,0.55,6,6.366666666666667,31.3
R0200,Ward_14,5.359722222222222,23.16,1.2634,-5e-06,433.3,1845.065592566359,247.1,0.95,19,5.6,40.2
R0201,Ward_6,4.283611111111111,27.24,0.9146,0.000115,392.5,1104.9964915716855,346.4,0.85,10,8.966666666666667,37.0
R0202,Ward_2,5.486666666666666,37.56,1.0075,3.4e-05,289.3,2553.192437045894,189.7,0.55,4,23.7,40.2
R0203,Ward_23,5.084305555555556,53.77,0.4563,-0.000169,127.2,1577.292279494162,458.1,0.55,3,12.674999999999999,28.1
R0204,Ward_4,5.773333333333333,16.33,0.6772,-6e-06,501.6,642.1406179564862,363.9,0.7,6,4.075,37.9
R0205,Ward_12,6.3966666666666665,0.0,0.0,4.3e-05,664.9,577.5321663336061,107.2,0.7,9,11.45,52.7
R0206,Ward_14,5.798194444444444,7.32,1.4986,-1e-06,591.7,590.8891076046917,455.6,0.85,12,4.3,31.7
R0207,Ward_7,6.8093055555555555,27.97,1.1953,4e-06,385.2,614.7973854670527,275.1,0.7,8,5.8500000000000005,26.1
R0208,Ward_13,5.52625,6.6,1.3625,8.8e-05,598.9,1013.1615410638684,298.3,0.85,11,21.375,53.8
R0209,Ward_17,5.4376388888888885,0.0,0.0,0.0,664.9,1173.9471513367778,141.4,0.55,6,22.8,62.0
R0210,Ward_10,6.7188888888888885,0.0,0.0,0.0,664.9,1331.601937012227,84.5,0.7,6,3.5,56.3
R0211,Ward_1,6.160416666666666,0.0,0.0,0.0,664.9,1304.4792135294113,442.3,0.55,3,10.319999999999999,49.4
