event_id,timestamp,latitude,longitude,water_depth_cm,rainfall_mm,duration_hrs,road_id,ward,affected_area_sqm
EVT00019,2017-06-07 00:00,18.94227,72.90779,15.3,47.6,1.1,R0228,Ward_11,6240.0
EVT00020,2017-03-22 00:00,18.92153,72.81743,26.6,57.9,3.0,R0131,Ward_2,4322.0
EVT00021,2021-07-08 00:00,18.91989,72.83867,16.4,69.0,4.9,R0483,Ward_22,104.0
EVT00022,2021-03-28 00:00,18.99024,72.98763,1.4,3.7,21.8,R0150,Ward_22,26752.0
EVT00023,2018-12-03 00:00,18.92594,72.8828,9.5,38.3,13.0,R0180,Ward_20,26957.0
EVT00024,2015-12-01 00:00,18.95394,72.79277,43.9,120.6,6.5,R0096,Ward_5,15055.0
EVT00025,2022-03-02 00:00,19.20305,72.99021,0.3,0.0,13.7,R0302,Ward_12,13942.0
EVT00026,2021-07-31 00:00,19.16164,72.86706,15.8,42.0,6.9,R0195,Ward_21,45193.0
EVT00027,2018-04-07 00:00,19.03002,72.78915,10.2,29.3,16.6,R0481,Ward_23,7248.0
EVT00028,2018-06-08 00:00,18.95151,72.9148,1.3,0.0,23.9,R0356,Ward_21,9712.0
EVT00029,2021-02-23 00:00,19.01886,72.92118,9.7,28.0,14.9,R0214,Ward_5,15886.0
EVT00030,2022-03-08 00:00,19.18511,72.85716,15.5,42.8,6.7,R0138,Ward_4,26620.0
EVT00031,2019-02-09 00:00,19.14359,72.86356,8.1,27.3,15.7,R0185,Ward_11,38926.0
EVT00032,2018-06-25 00:00,18.92853,72.95356,13.0,33.9,1.2,R0193,Ward_8,18994.0
EVT00033,2017-05-20 00:00,18.912,72.9829,1.6,0.0,13.1,R0448,Ward_10,29482.0
EVT00034,2019-04-30 00:00,19.19272,72.79197,23.2,70.4,17.1,R0443,Ward_10,27622.0
EVT00035,2017-04-30 00:00,19.11299,72.97621,0.5,0.0,8.3,R0384,Ward_13,9116.0
EVT00036,2024-04-04 00:00,19.19243,72.9259,2.2,14.0,13.2,R0304,Ward_13,23895.0
EVT00037,2021-03-04 00:00,18.92103,72.77218,11.4,29.7,17.4,R0336,Ward_5,7219.0
EVT00038,2023-07-20 00:00,19.09702,72.8315,24.1,86.9,15.7,R0189,Ward_23,38899.0
EVT00039,2020-07-19 00:00,19.14129,72.8662,11.1,45.7,5.2,R0181,Ward_15,25161.0
EVT00040,2023-06-21 00:00,18.98033,72.86839,15.0,41.7,21.3,R0416,Ward_8,15329.0
EVT00041,2019-12-22 00:00,19.21317,72.98791,0.1,0.0,18.7,R0432,Ward_3,31770.0
EVT00042,2016-06-18 00:00,18.90068,72.82521,8.1,19.7,4.8,R0029,Ward_3,37196.0
EVT00043,2015-07-14 00:00,19.09166,72.88336,5.3,5.9,23.1,R0217,Ward_22,25483.0
EVT00044,2021-03-10 00:00,19.16232,72.88032,11.5,34.3,16.8,R0346,Ward_18,34924.0
EVT00045,2023-10-12 00:00,19.03219,72.91175,2.7,0.0,1.2,R0217,Ward_23,26763.0
EVT00046,2022-10-30 00:00,19.00802,72.99867,0.1,9.9,22.9,R0421,Ward_17,34235.0
EVT00047,2017-04-21 00:00,18.88694,72.87319,30.5,74.0,16.5,R0451,Ward_17,45200.0
EVT00048,2016-11-28 00:00,18.93993,72.85442,10.6,32.8,12.8,R0487,Ward_2,21194.0
EVT00049,2016-09-06 00:00,19.02164,72.85586,15.0,45.4,8.8,R0347,Ward_8,41603.0
EVT00050,2018-09-01 00:00,19.21031,72.9673,4.0,13.4,7.9,R0150,Ward_9,10732.0
EVT00051,2017-11-07 00:00,19.16521,72.90083,2.3,0.0,22.2,R0475,Ward_21,25825.0
EVT00052,2022-05-05 00:00,19.22737,72.98515,0.9,0.0,20.5,R0029,Ward_12,394.0
EVT00053,2016-08-12 00:00,19.05414,72.83862,4.5,7.8,1.1,R0455,Ward_24,9389.0
EVT00054,2020-12-06 00:00,19.01181,72.79331,23.6,67.8,5.5,R0270,Ward_17,44936.0
EVT00055,2015-06-29 00:00,19.03429,72.98002,3.2,11.8,4.6,R0336,Ward_9,11382.0
EVT00056,2020-03-20 00:00,19.02814,72.83884,5.4,13.2,21.5,R0274,Ward_9,5524.0
EVT00057,2017-03-24 00:00,19.04543,72.96305,4.0,14.1,4.2,R0382,Ward_14,390.0
EVT00058,2016-08-27 00:00,19.22343,72.93312,3.8,19.3,5.4,R0020,Ward_5,19788.0
EVT00059,2017-03-18 00:00,19.16757,72.97723,1.6,7.5,16.3,R0485,Ward_16,47989.0
EVT00060,2020-11-24 00:00,19.26317,72.79732,38.0,117.4,13.7,R0409,Ward_22,35745.0
EVT00061,2019-11-24 00:00,18.99996,72.94581,4.7,6.9,12.5,R0472,Ward_24,42169.0
EVT00062,2016-08-15 00:00,19.02554,72.79524,10.1,29.7,19.2,R0064,Ward_5,17272.0
EVT00063,2015-12-31 00:00,18.87546,72.92742,5.1,19.0,16.6,R0175,Ward_14,48824.0
EVT00064,2018-08-29 00:00,19.16497,72.8699,11.5,35.7,7.5,R0042,Ward_14,12463.0
EVT00065,2018-03-18 00:00,18.931,72.88759,8.3,22.7,7.5,R0058,Ward_9,49713.0
EVT00066,2017-08-21 00:00,18.96894,72.95874,6.2,9.1,11.9,R0400,Ward_4,35087.0
EVT00067,2022-01-16 00:00,19.07093,72.81167,8.8,26.8,15.5,R0076,Ward_8,6111.0
EVT00068,2017-07-27 00:00,19.03051,72.83299,13.2,44.3,22.4,R0218,Ward_1,30862.0
EVT00069,2019-12-25 00:00,18.90637,72.78172,31.2,89.0,13.1,R0358,Ward_21,49008.0
EVT00070,2016-02-07 00:00,18.95871,72.868,5.7,13.0,12.7,R0329,Ward_2,15284.0
EVT00071,2019-05-08 00:00,18.9777,72.83453,38.9,125.9,17.4,R0126,Ward_11,44766.0
EVT00072,2022-10-27 00:00,18.9427,72.77012,7.3,3.7,18.1,R0108,Ward_10,23656.0
EVT00073,2017-06-27 00:00,19.23339,72.79318,8.8,26.2,6.8,R0251,Ward_12,16781.0
EVT00074,2023-01-27 00:00,18.91461,72.92386,3.7,35.7,13.7,R0441,Ward_5,16627.0
EVT00075,2024-02-23 00:00,19.16652,72.85312,12.8,37.1,14.5,R0309,Ward_12,11989.0
EVT00076,2016-05-23 00:00,18.98038,72.9044,14.8,55.4,21.4,R0066,Ward_21,37155.0
EVT00077,2022-10-02 00:00,18.91814,72.90491,6.5,23.6,19.8,R0098,Ward_23,22344.0
EVT00078,2022-05-10 00:00,18.90945,72.98662,1.0,11.8,8.9,R0371,Ward_16,49483.0
EVT00079,2015-11-27 00:00,18.9508,72.93578,8.2,39.2,3.9,R0214,Ward_18,35609.0
EVT00080,2021-09-12 00:00,19.22663,72.94465,2.0,0.0,23.4,R0458,Ward_12,22479.0
EVT00081,2016-03-04 00:00,19.15693,72.9795,2.2,0.0,12.1,R0268,Ward_17,39565.0
EVT00082,2016-11-10 00:00,18.93677,72.83305,6.4,33.2,7.7,R0489,Ward_19,3134.0
EVT00083,2019-11-15 00:00,19.25899,72.81374,38.1,115.6,12.4,R0272,Ward_17,48580.0
EVT00084,2019-09-21 00:00,18.93621,72.94267,8.9,36.4,13.9,R0199,Ward_13,30400.0
EVT00085,2021-10-29 00:00,18.95277,72.77083,45.0,134.2,6.0,R0356,Ward_1,43970.0
EVT00086,2023-05-08 00:00,19.18626,72.87475,13.7,34.1,17.6,R0132,Ward_10,42639.0
EVT00087,2016-09-30 00:00,18.98855,72.83176,23.3,65.4,4.9,R0023,Ward_18,11987.0
EVT00088,2018-07-12 00:00,18.88564,72.80407,18.2,61.5,22.3,R0138,Ward_2,32156.0
EVT00089,2021-05-29 00:00,18.9696,72.95938,11.4,40.3,3.7,R0332,Ward_12,31671.0
EVT00090,2023-04-29 00:00,19.25889,72.84465,17.1,37.2,21.3,R0135,Ward_24,6767.0
EVT00091,2016-01-21 00:00,19.22933,72.83783,7.0,9.1,15.4,R0005,Ward_12,11042.0
EVT00092,2015-08-04 00:00,19.25609,72.81065,20.6,67.3,13.4,R0444,Ward_19,5411.0
EVT00093,2022-09-30 00:00,19.16831,72.85786,14.0,35.5,6.9,R0320,Ward_21,30257.0
EVT00094,2019-01-19 00:00,18.95246,72.8717,2.7,8.6,7.2,R0297,Ward_21,40406.0
EVT00095,2018-01-05 00:00,19.17116,72.8058,6.3,2.7,17.8,R0222,Ward_12,7502.0
EVT00096,2020-07-25 00:00,19.0616,72.88407,16.9,59.3,5.3,R0441,Ward_6,9524.0
EVT00097,2022-09-04 00:00,19.06621,72.93778,1.3,0.0,7.5,R0158,Ward_6,44274.0
EVT00098,2017-07-09 00:00,19.197,72.92809,3.1,30.0,2.6,R0036,Ward_14,12338.0
EVT00099,2016-07-15 00:00,19.23365,72.99319,1.1,5.6,17.7,R0070,Ward_24,37547.0
EVT00100,2019-09-20 00:00,18.87472,72.79294,10.4,24.9,1.5,R0423,Ward_1,38196.0
EVT00101,2018-03-14 00:00,19.12779,72.78006,21.8,55.6,18.7,R0137,Ward_5,46936.0
EVT00102,2015-07-09 00:00,19.10985,72.95225,9.5,27.9,23.0,R0054,Ward_18,36833.0
EVT00103,2017-09-06 00:00,19.00536,72.93271,1.9,10.1,4.2,R0388,Ward_19,44630.0
EVT00104,2020-10-13 00:00,19.19619,72.8407,5.2,6.4,4.6,R0028,Ward_18,34633.0
EVT00105,2015-11-30 00:00,19.12099,72.79831,58.0,172.3,3.4,R0151,Ward_4,25626.0
EVT00106,2017-12-05 00:00,19.20459,72.80262,11.9,40.6,1.6,R0218,Ward_13,7454.0
EVT00107,2023-02-02 00:00,19.13215,72.82195,16.6,53.1,9.8,R0452,Ward_23,41157.0
EVT00108,2016-08-25 00:00,18.91496,72.809,9.6,53.8,6.2,R0489,Ward_10,17930.0
EVT00109,2016-05-13 00:00,19.11628,72.79722,5.6,17.3,21.6,R0309,Ward_5,8986.0
EVT00110,2023-01-12 00:00,19.08219,72.90791,3.5,0.0,10.8,R0457,Ward_22,34389.0
EVT00111,2016-07-30 00:00,19.1199,72.83601,18.9,68.0,7.2,R0255,Ward_22,18519.0
EVT00112,2024-05-15 00:00,18.97616,72.97861,2.3,11.5,2.8,R0001,Ward_5,38911.0
EVT00113,2020-06-03 00:00,18.92864,72.80399,16.5,50.7,17.6,R0402,Ward_16,40751.0
EVT00114,2023-07-25 00:00,18.91527,72.86831,2.6,9.2,7.4,R0046,Ward_11,49739.0
EVT00115,2018-12-29 00:00,18.94275,72.85855,28.3,93.0,12.4,R0246,Ward_23,48645.0
EVT00116,2016-12-18 00:00,19.1107,72.91642,3.7,19.0,19.4,R0334,Ward_8,19221.0
EVT00117,2020-12-08 00:00,19.08974,72.89391,5.5,15.4,13.2,R0420,Ward_8,19293.0
EVT00118,2021-11-22 00:00,19.10239,72.86702,18.4,61.4,18.9,R0415,Ward_24,11045.0
EVT00119,2017-09-10 00:00,18.9049,72.85319,8.3,42.4,23.9,R0008,Ward_12,27963.0
EVT00120,2016-01-31 00:00,19.25305,72.98181,1.4,0.0,22.0,R0184,Ward_5,14805.0
EVT00121,2020-02-19 00:00,18.92766,72.96626,0.7,4.1,6.6,R0423,Ward_8,2888.0
EVT00122,2023-04-23 00:00,18.92512,72.99127,1.5,0.0,4.3,R0375,Ward_1,34837.0
EVT00123,2016-08-08 00:00,19.03988,72.78244,14.0,47.2,16.2,R0037,Ward_16,41888.0
EVT00124,2019-07-06 00:00,19.21819,72.77694,17.5,59.9,4.2,R0125,Ward_3,723.0
EVT00125,2023-12-31 00:00,19.20243,72.86579,18.2,61.3,5.2,R0380,Ward_5,37431.0
EVT00126,2020-01-11 00:00,19.14943,72.83889,28.6,84.9,17.6,R0227,Ward_21,34793.0
EVT00127,2022-08-14 00:00,18.98471,72.80585,6.1,5.8,1.7,R0384,Ward_6,25214.0
EVT00128,2023-01-14 00:00,18.87435,72.96152,3.6,18.3,22.8,R0232,Ward_18,35599.0
EVT00129,2018-11-05 00:00,18.97322,72.90157,6.8,30.3,17.3,R0216,Ward_6,13664.0
EVT00130,2016-10-25 00:00,18.90677,72.85684,22.8,78.7,18.1,R0205,Ward_20,2894.0
EVT00131,2021-09-07 00:00,19.02692,72.95918,3.4,6.8,14.9,R0039,Ward_23,23475.0
EVT00132,2019-09-06 00:00,18.99528,72.91763,2.9,0.0,4.8,R0411,Ward_12,32368.0
EVT00133,2016-04-14 00:00,18.94789,72.79493,12.3,46.4,9.3,R0398,Ward_11,1500.0
EVT00134,2016-02-23 00:00,18.98288,72.89456,36.1,109.7,5.9,R0005,Ward_10,9468.0
EVT00135,2018-02-09 00:00,18.95069,72.98372,2.0,0.0,7.2,R0291,Ward_19,2339.0
EVT00136,2015-12-14 00:00,19.2646,72.88128,18.8,64.6,8.2,R0483,Ward_10,523.0
EVT00137,2019-11-17 00:00,19.01266,72.83495,9.1,31.7,12.5,R0161,Ward_13,36312.0
EVT00138,2016-07-03 00:00,19.25954,72.93161,1.3,0.2,8.6,R0459,Ward_24,25229.0
EVT00139,2015-09-06 00:00,19.07087,72.94826,8.7,35.3,14.5,R0195,Ward_16,29359.0
EVT00140,2017-02-10 00:00,19.21081,72.83673,10.9,41.4,16.7,R0040,Ward_21,4755.0
EVT00141,2023-01-21 00:00,19.15739,72.97341,4.6,11.2,16.0,R0393,Ward_23,8136.0
EVT00142,2023-08-02 00:00,19.25547,72.88875,7.8,11.2,15.0,R0267,Ward_11,22429.0
EVT00143,2022-05-28 00:00,18.92248,72.83689,10.0,36.5,20.7,R0220,Ward_2,44545.0
EVT00144,2017-10-03 00:00,19.17967,72.85916,21.7,68.6,23.9,R0310,Ward_3,47905.0
EVT00145,2016-07-03 00:00,19.09676,72.99871,0.1,0.7,19.5,R0073,Ward_10,27402.0
EVT00146,2016-05-23 00:00,19.25758,72.94973,2.7,6.5,12.5,R0232,Ward_11,8569.0
EVT00147,2021-11-17 00:00,18.98824,72.78568,17.5,60.9,9.4,R0045,Ward_3,9041.0
EVT00148,2020-09-20 00:00,19.17878,72.82933,4.6,11.7,23.5,R0390,Ward_15,32550.0
EVT00149,2021-10-16 00:00,18.92618,72.79851,37.8,130.4,12.2,R0186,Ward_10,20107.0
EVT00150,2016-11-10 00:00,19.2128,72.98094,0.4,0.0,11.1,R0262,Ward_20,47607.0
EVT00151,2021-02-01 00:00,19.01947,72.92691,2.2,2.3,11.4,R0449,Ward_22,2230.0
EVT00152,2024-04-12 00:00,19.26097,72.78312,33.8,99.7,6.6,R0420,Ward_18,496.0
EVT00153,2017-03-10 00:00,19.21122,72.83685,22.1,70.4,14.1,R0437,Ward_3,11230.0
EVT00154,2019-04-30 00:00,19.21966,72.9239,7.3,26.2,11.7,R0328,Ward_18,45016.0
EVT00155,2023-08-15 00:00,19.05594,72.78974,2.8,1.7,3.5,R0491,Ward_13,38434.0
EVT00156,2018-12-21 00:00,18.94979,72.84561,11.3,25.0,8.9,R0309,Ward_16,10710.0
EVT00157,2020-07-05 00:00,19.16651,72.7963,20.7,53.7,1.9,R0079,Ward_16,7361.0
EVT00158,2022-02-26 00:00,18.95539,72.90069,3.2,0.0,18.8,R0031,Ward_12,39499.0
EVT00159,2017-10-14 00:00,19.26142,72.81909,8.6,22.2,21.0,R0487,Ward_22,21204.0
EVT00160,2017-01-01 00:00,18.97083,72.8105,8.6,27.5,2.6,R0207,Ward_3,14987.0
EVT00161,2021-04-19 00:00,19.15488,72.9704,1.0,7.7,5.9,R0457,Ward_9,9286.0
EVT00162,2020-03-21 00:00,18.8915,72.97584,3.5,8.6,8.9,R0385,Ward_10,8310.0
EVT00163,2020-09-29 00:00,19.00971,72.86639,1.2,6.7,13.3,R0401,Ward_6,48283.0
EVT00164,2021-10-23 00:00,19.04471,72.9799,0.6,0.0,10.0,R0005,Ward_18,39175.0
EVT00165,2022-11-26 00:00,19.10885,72.7879,13.7,37.6,14.3,R0074,Ward_11,33237.0
EVT00166,2023-09-04 00:00,19.1994,72.9389,2.5,0.0,17.9,R0007,Ward_5,44835.0
EVT00167,2018-12-18 00:00,19.24353,72.88487,13.4,42.5,3.6,R0496,Ward_22,20379.0
EVT00168,2020-06-19 00:00,19.07828,72.77085,49.6,172.8,22.7,R0438,Ward_5,31751.0
EVT00169,2015-10-28 00:00,19.12557,72.90303,8.7,35.2,6.0,R0096,Ward_14,34853.0
EVT00170,2017-11-02 00:00,19.17975,72.90822,7.8,20.6,9.0,R0487,Ward_7,48590.0
EVT00171,2019-06-30 00:00,19.10073,72.77331,19.3,75.6,1.4,R0459,Ward_10,25154.0
EVT00172,2022-09-09 00:00,19.2171,72.93084,12.2,42.3,24.0,R0211,Ward_14,17651.0
EVT00173,2023-12-29 00:00,19.20127,72.86795,12.5,44.5,8.7,R0474,Ward_6,22995.0
EVT00174,2017-03-28 00:00,19.01925,72.89713,20.5,66.3,13.5,R0195,Ward_10,42270.0
EVT00175,2018-08-04 00:00,19.14542,72.87062,23.4,73.4,17.1,R0480,Ward_4,49769.0
EVT00176,2022-09-12 00:00,19.19238,72.79388,7.8,18.5,1.4,R0477,Ward_14,5273.0
EVT00177,2021-07-10 00:00,19.16998,72.91348,3.2,1.8,3.3,R0227,Ward_17,29104.0
EVT00178,2020-02-17 00:00,18.88305,72.83668,15.8,61.1,5.9,R0397,Ward_15,27624.0
EVT00179,2016-10-22 00:00,18.9158,72.96696,1.3,0.0,9.1,R0406,Ward_15,20705.0
EVT00180,2023-09-22 00:00,19.19817,72.93188,5.5,29.3,10.1,R0481,Ward_12,39132.0
EVT00181,2022-10-19 00:00,19.07302,72.83155,24.3,78.5,7.1,R0429,Ward_14,33698.0
EVT00182,2015-10-12 00:00,18.87166,72.97908,1.5,0.0,1.4,R0078,Ward_12,42054.0
EVT00183,2018-12-22 00:00,19.07759,72.94049,3.4,9.8,8.7,R0491,Ward_19,49642.0
EVT00184,2017-07-29 00:00,18.96673,72.9939,0.2,0.0,15.2,R0201,Ward_2,40086.0
EVT00185,2022-07-20 00:00,19.10114,72.79964,28.1,90.0,10.0,R0372,Ward_6,20216.0
EVT00186,2018-01-02 00:00,18.99725,72.80644,20.6,50.4,3.3,R0410,Ward_5,25262.0
EVT00187,2023-12-17 00:00,19.12258,72.95038,8.3,24.1,15.4,R0133,Ward_18,8037.0
EVT00188,2015-09-14 00:00,18.99896,72.79145,22.8,70.0,11.1,R0321,Ward_19,7737.0
EVT00189,2016-04-18 00:00,19.11724,72.89504,8.1,17.5,14.2,R0012,Ward_24,36735.0
EVT00190,2024-02-19 00:00,19.26337,72.91593,3.4,0.0,9.2,R0122,Ward_21,44906.0
EVT00191,2018-03-01 00:00,18.98877,72.89315,5.5,15.1,17.7,R0413,Ward_13,38543.0
EVT00192,2017-01-09 00:00,19.1337,72.83324,16.4,49.8,15.4,R0326,Ward_19,43360.0
EVT00193,2016-10-15 00:00,18.91437,72.98326,0.8,8.7,3.5,R0144,Ward_9,44741.0
EVT00194,2019-06-20 00:00,18.90711,72.88368,12.1,60.9,22.0,R0106,Ward_13,5124.0
EVT00195,2020-11-13 00:00,19.18818,72.86516,9.7,19.0,23.1,R0039,Ward_7,34398.0
EVT00196,2020-06-20 00:00,19.0201,72.84212,6.4,18.1,19.6,R0092,Ward_10,606.0
EVT00197,2022-03-20 00:00,18.94147,72.90048,9.7,34.8,20.7,R0060,Ward_11,49688.0
EVT00198,2021-07-17 00:00,19.06356,72.91122,7.2,16.8,1.1,R0267,Ward_24,12800.0
EVT00199,2021-06-04 00:00,18.91864,72.90941,7.8,13.3,1.5,R0262,Ward_5,10894.0
EVT00200,2015-09-29 00:00,19.01596,72.97667,3.0,7.8,8.5,R0112,Ward_3,36414.0
EVT00201,2020-10-24 00:00,19.24594,72.83155,26.7,88.3,5.6,R0047,Ward_12,35433.0
EVT00202,2020-12-21 00:00,19.13077,72.87742,1.5,1.4,11.0,R0484,Ward_13,46125.0
EVT00203,2023-06-17 00:00,18.97004,72.81551,23.0,83.0,7.5,R0201,Ward_4,29224.0
EVT00204,2024-04-26 00:00,19.17658,72.84166,25.7,83.6,5.7,R0369,Ward_16,21730.0
EVT00205,2018-06-17 00:00,19.04846,72.90716,5.4,8.1,19.8,R0318,Ward_4,30404.0
EVT00206,2019-08-10 00:00,19.04173,72.90044,3.9,12.4,21.7,R0419,Ward_3,22525.0
EVT00207,2018-04-02 00:00,19.22578,72.99036,0.5,0.0,14.5,R0150,Ward_20,41352.0
EVT00208,2019-05-13 00:00,19.12804,72.99198,0.7,0.0,10.2,R0058,Ward_6,40471.0
EVT00209,2018-03-01 00:00,19.04175,72.81276,36.0,116.1,2.7,R0336,Ward_12,18661.0
EVT00210,2018-12-26 00:00,19.18181,72.79813,19.8,45.3,16.8,R0367,Ward_11,10767.0
EVT00211,2018-01-08 00:00,19.09699,72.84396,6.0,11.8,13.9,R0197,Ward_10,30130.0
EVT00212,2018-07-13 00:00,19.0809,72.79367,19.2,60.3,17.5,R0484,Ward_22,3834.0
EVT00213,2023-11-23 00:00,19.22707,72.867,25.3,66.1,11.0,R0416,Ward_11,9988.0
EVT00214,2015-12-09 00:00,18.88986,72.8836,4.0,1.7,23.8,R0215,Ward_4,6292.0
EVT00215,2019-09-16 00:00,18.93846,72.84518,34.9,100.0,6.4,R0010,Ward_10,990.0
EVT00216,2015-06-20 00:00,19.18332,72.90242,6.1,21.0,22.0,R0145,Ward_5,42098.0
EVT00217,2021-04-30 00:00,19.03112,72.97604,3.3,21.1,1.9,R0330,Ward_1,3566.0
EVT00218,2023-07-11 00:00,18.90805,72.95458,4.7,14.2,7.9,R0162,Ward_12,20077.0
EVT00219,2022-04-13 00:00,19.09258,72.84203,59.2,182.0,2.1,R0152,Ward_23,49200.0
EVT00220,2016-10-10 00:00,19.06733,72.91745,14.9,40.5,20.4,R0480,Ward_20,5227.0
EVT00221,2016-12-20 00:00,18.95961,72.95986,3.7,19.9,3.4,R0165,Ward_23,36240.0
EVT00222,2023-07-14 00:00,18.96054,72.79024,23.6,80.5,21.8,R0188,Ward_18,49479.0
EVT00223,2018-04-29 00:00,19.24364,72.96964,3.1,27.8,21.3,R0022,Ward_4,2495.0
EVT00224,2023-02-16 00:00,18.99172,72.83066,17.3,47.4,15.1,R0415,Ward_13,13569.0
EVT00225,2020-07-31 00:00,18.93814,72.80169,2.8,10.7,3.8,R0163,Ward_5,37676.0
EVT00226,2020-01-18 00:00,19.22512,72.99214,1.2,23.5,15.6,R0342,Ward_4,26136.0
EVT00227,2020-11-28 00:00,18.96621,72.87992,5.3,4.6,23.5,R0164,Ward_24,24187.0
EVT00228,2023-05-23 00:00,18.90672,72.94623,3.6,17.1,2.9,R0285,Ward_8,33008.0
EVT00229,2016-04-15 00:00,19.16411,72.81735,13.6,49.0,2.7,R0253,Ward_2,10703.0
EVT00230,2019-09-25 00:00,19.1382,72.87767,2.1,0.0,5.3,R0053,Ward_11,10512.0
EVT00231,2018-12-05 00:00,19.10621,72.89136,16.1,39.1,18.5,R0159,Ward_23,22756.0
EVT00232,2016-11-14 00:00,18.9316,72.88604,3.9,7.8,6.0,R0186,Ward_13,48756.0
EVT00233,2024-02-28 00:00,19.21714,72.8881,11.9,14.0,10.2,R0035,Ward_9,21212.0
EVT00234,2021-11-20 00:00,19.14451,72.98884,1.4,2.5,15.9,R0075,Ward_15,43822.0
EVT00235,2020-07-31 00:00,19.16801,72.82533,20.7,58.6,5.3,R0014,Ward_16,33128.0
EVT00236,2021-08-02 00:00,19.05106,72.83108,8.3,21.2,2.9,R0220,Ward_7,7616.0
EVT00237,2016-01-04 00:00,19.07088,72.88682,9.1,22.3,11.2,R0189,Ward_4,2552.0
EVT00238,2017-08-03 00:00,19.02301,72.98344,0.3,9.8,7.8,R0206,Ward_6,29743.0
EVT00239,2020-04-10 00:00,19.08183,72.88353,15.0,31.3,3.5,R0025,Ward_21,12522.0
EVT00240,2015-10-25 00:00,18.91443,72.79649,5.2,12.3,14.2,R0122,Ward_3,26653.0
EVT00241,2023-04-05 00:00,18.98018,72.973,2.3,12.0,17.5,R0200,Ward_13,5155.0
EVT00242,2018-06-03 00:00,19.16357,72.97229,0.1,0.0,12.4,R0087,Ward_7,17447.0
EVT00243,2023-08-23 00:00,18.9852,72.90715,5.2,9.0,1.1,R0094,Ward_17,45398.0
EVT00244,2023-02-16 00:00,19.11885,72.93999,18.1,56.2,6.5,R0161,Ward_22,3566.0
EVT00245,2017-01-01 00:00,18.94494,72.97697,0.6,0.0,23.1,R0341,Ward_16,21453.0
EVT00246,2016-04-11 00:00,18.87833,72.99411,0.4,11.0,4.9,R0389,Ward_1,29741.0
EVT00247,2020-11-21 00:00,19.25782,72.90413,27.2,79.8,21.1,R0241,Ward_4,2354.0
EVT00248,2018-09-03 00:00,18.87696,72.92641,9.9,39.9,20.2,R0268,Ward_17,8449.0
EVT00249,2018-10-30 00:00,18.92863,72.7916,8.3,22.8,19.5,R0171,Ward_15,24584.0
EVT00250,2022-11-08 00:00,19.01031,72.89551,17.3,39.7,12.2,R0186,Ward_15,777.0
EVT00251,2021-03-22 00:00,19.01105,72.93334,5.8,19.3,18.8,R0438,Ward_20,24269.0
EVT00252,2022-08-03 00:00,18.97797,72.88944,3.8,11.1,1.5,R0210,Ward_8,33002.0
EVT00253,2018-02-25 00:00,18.92665,72.8845,12.2,35.8,14.3,R0356,Ward_14,18035.0
EVT00254,2019-08-26 00:00,19.16775,72.81458,30.5,97.5,15.7,R0494,Ward_9,43869.0
EVT00255,2020-06-14 00:00,19.14152,72.97682,0.4,6.8,23.7,R0448,Ward_17,8830.0
EVT00256,2019-02-16 00:00,19.23413,72.85023,18.3,59.6,10.0,R0213,Ward_9,15535.0
